@relation 'xxxxxxx_bank-weka.filters.unsupervised.attribute.Copy-R7-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceRok-R26-weka.filters.unsupervised.attribute.ChangeDateFormat-C26-Fyyyy-weka.filters.unsupervised.attribute.NumericToNominal-R26-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R16-weka.filters.unsupervised.attribute.Copy-R13-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceprzedzial_czas rozmowy-R23-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R23-precision6-weka.filters.unsupervised.attribute.Copy-R9-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceprzedzial_wiek-R24-weka.filters.unsupervised.attribute.Discretize-B6-M-1.0-R24-precision6-weka.filters.unsupervised.attribute.Copy-R1-weka.filters.unsupervised.attribute.Copy-R2-weka.filters.unsupervised.attribute.Copy-R3-weka.filters.unsupervised.attribute.Copy-R4-weka.filters.unsupervised.attribute.Copy-R5-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceprzedzial_emp.var.rate-R25-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceprzedzial_cons.price.idx-R26-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceprzedzial_cons.conf.idx-R27-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceprzedzial_euribor3m-R28-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceprzedzial_nr.employed-R29-weka.filters.unsupervised.attribute.Discretize-B6-M-1.0-R26-precision6-weka.filters.unsupervised.attribute.Discretize-B6-M-1.0-R27-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R28-precision6-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R29-precision6-weka.filters.unsupervised.attribute.Discretize-B2-M-1.0-R25-precision6-weka.filters.unsupervised.attribute.Reorder-R1-20,22-29,21-weka.filters.unsupervised.attribute.Remove-R1-5-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P80.0-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R3,5,11-weka.filters.unsupervised.attribute.Remove-R2,7'

@attribute contact {telephone,cellular}
@attribute job {housemaid,services,admin.,blue-collar,technician,retired,management,unemployed,self-employed,unknown,entrepreneur,student}
@attribute month {may,nov,apr,oct,aug,sep,jun,jul,mar,dec}
@attribute poutcome {nonexistent,failure,success}
@attribute Rok {2008,2009,2010,2011}
@attribute przedzial_wiek {0-30.5,'\'(30.5-44]\'','\'(44-57.5]\'','\'(57.5-71]\'','\'(71-84.5]\'',84.5-100}
@attribute przedzial_cons.price.idx {'\'(-inf-92.628667]\'','\'(92.628667-93.056333]\'','\'(93.056333-93.484]\'','\'(93.484-93.911667]\'','\'(93.911667-94.339333]\'','\'(94.339333-inf)\''}
@attribute przedzial_cons.conf.idx {'\'(-inf--46.816667]\'','\'(-46.816667--42.833333]\'','\'(-42.833333--38.85]\'','\'(-38.85--34.866667]\'','\'(-34.866667--30.883333]\'','\'(-30.883333-inf)\''}
@attribute przedzial_euribor3m {'\'(-inf-2.104333]\'','\'(2.104333-3.574667]\'','\'(3.574667-inf)\''}
@attribute przedzial_nr.employed {'\'(-inf-5029.725]\'','\'(5029.725-5095.85]\'','\'(5095.85-5161.975]\'','\'(5161.975-inf)\''}
@attribute y {no,yes}

@data
cellular,management,jul,nonexistent,2008,'\'(44-57.5]\'','\'(93.911667-94.339333]\'','\'(-42.833333--38.85]\'',?,'\'(5161.975-inf)\'',no
telephone,services,may,nonexistent,2008,'\'(44-57.5]\'','\'(93.911667-94.339333]\'','\'(-38.85--34.866667]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
telephone,admin.,may,nonexistent,2008,'\'(30.5-44]\'','\'(93.911667-94.339333]\'','\'(-38.85--34.866667]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
cellular,admin.,jul,failure,2010,'\'(30.5-44]\'','\'(93.911667-94.339333]\'','\'(-42.833333--38.85]\'','\'(-inf-2.104333]\'','\'(-inf-5029.725]\'',no
telephone,admin.,jun,nonexistent,2008,'\'(44-57.5]\'','\'(94.339333-inf)\'','\'(-42.833333--38.85]\'',?,'\'(5161.975-inf)\'',no
telephone,retired,may,nonexistent,2008,'\'(44-57.5]\'','\'(93.911667-94.339333]\'','\'(-38.85--34.866667]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
cellular,management,jul,nonexistent,2008,'\'(44-57.5]\'','\'(93.911667-94.339333]\'','\'(-42.833333--38.85]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
cellular,services,nov,nonexistent,2008,'\'(44-57.5]\'','\'(93.056333-93.484]\'','\'(-42.833333--38.85]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
cellular,student,nov,failure,2010,0-30.5,'\'(94.339333-inf)\'','\'(-inf--46.816667]\'','\'(-inf-2.104333]\'','\'(-inf-5029.725]\'',no
cellular,management,aug,nonexistent,2009,'\'(30.5-44]\'','\'(-inf-92.628667]\'','\'(-34.866667--30.883333]\'','\'(-inf-2.104333]\'','\'(5029.725-5095.85]\'',no
telephone,blue-collar,may,nonexistent,2008,'\'(30.5-44]\'','\'(93.911667-94.339333]\'','\'(-38.85--34.866667]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
cellular,admin.,may,failure,2009,'\'(30.5-44]\'','\'(92.628667-93.056333]\'','\'(-46.816667--42.833333]\'','\'(-inf-2.104333]\'','\'(5095.85-5161.975]\'',no
telephone,blue-collar,may,nonexistent,2008,0-30.5,'\'(93.911667-94.339333]\'','\'(-38.85--34.866667]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
telephone,blue-collar,jun,nonexistent,2008,'\'(44-57.5]\'','\'(94.339333-inf)\'','\'(-42.833333--38.85]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
cellular,admin.,may,failure,2009,'\'(44-57.5]\'','\'(92.628667-93.056333]\'','\'(-46.816667--42.833333]\'','\'(-inf-2.104333]\'','\'(5095.85-5161.975]\'',no
cellular,services,aug,nonexistent,2008,'\'(57.5-71]\'','\'(93.056333-93.484]\'','\'(-38.85--34.866667]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
telephone,blue-collar,may,nonexistent,2008,0-30.5,'\'(93.911667-94.339333]\'','\'(-38.85--34.866667]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
cellular,housemaid,nov,failure,2008,'\'(30.5-44]\'','\'(93.056333-93.484]\'','\'(-42.833333--38.85]\'',?,'\'(5161.975-inf)\'',no
cellular,blue-collar,jul,nonexistent,2008,'\'(30.5-44]\'','\'(93.911667-94.339333]\'','\'(-42.833333--38.85]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
cellular,admin.,aug,nonexistent,2008,'\'(44-57.5]\'','\'(93.056333-93.484]\'','\'(-38.85--34.866667]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
telephone,blue-collar,may,nonexistent,2008,'\'(30.5-44]\'','\'(93.911667-94.339333]\'','\'(-38.85--34.866667]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
cellular,blue-collar,may,nonexistent,2009,'\'(57.5-71]\'','\'(92.628667-93.056333]\'','\'(-46.816667--42.833333]\'',?,'\'(5095.85-5161.975]\'',no
telephone,unemployed,jul,nonexistent,2008,0-30.5,'\'(93.911667-94.339333]\'','\'(-42.833333--38.85]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
telephone,blue-collar,may,nonexistent,2008,'\'(44-57.5]\'','\'(93.911667-94.339333]\'','\'(-38.85--34.866667]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
cellular,blue-collar,jul,nonexistent,2008,'\'(44-57.5]\'','\'(93.911667-94.339333]\'','\'(-42.833333--38.85]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
telephone,blue-collar,may,nonexistent,2008,0-30.5,'\'(93.911667-94.339333]\'','\'(-38.85--34.866667]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
telephone,technician,aug,nonexistent,2011,0-30.5,'\'(93.911667-94.339333]\'','\'(-38.85--34.866667]\'','\'(-inf-2.104333]\'','\'(-inf-5029.725]\'',no
cellular,admin.,apr,nonexistent,2009,'\'(30.5-44]\'','\'(93.056333-93.484]\'','\'(-inf--46.816667]\'','\'(-inf-2.104333]\'','\'(5095.85-5161.975]\'',no
cellular,management,nov,failure,2011,'\'(30.5-44]\'','\'(94.339333-inf)\'','\'(-inf--46.816667]\'',?,'\'(-inf-5029.725]\'',no
cellular,technician,aug,nonexistent,2008,'\'(30.5-44]\'','\'(93.056333-93.484]\'','\'(-38.85--34.866667]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
telephone,admin.,may,nonexistent,2008,'\'(30.5-44]\'','\'(93.911667-94.339333]\'','\'(-38.85--34.866667]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
cellular,admin.,aug,nonexistent,2008,'\'(44-57.5]\'','\'(93.056333-93.484]\'','\'(-38.85--34.866667]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
cellular,technician,jul,nonexistent,2008,0-30.5,'\'(93.911667-94.339333]\'','\'(-42.833333--38.85]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
cellular,technician,oct,nonexistent,2009,'\'(30.5-44]\'','\'(-inf-92.628667]\'','\'(-30.883333-inf)\'','\'(-inf-2.104333]\'','\'(-inf-5029.725]\'',yes
cellular,unemployed,aug,nonexistent,2009,'\'(44-57.5]\'','\'(-inf-92.628667]\'','\'(-34.866667--30.883333]\'','\'(-inf-2.104333]\'','\'(5029.725-5095.85]\'',no
telephone,technician,jun,nonexistent,2011,0-30.5,'\'(93.911667-94.339333]\'','\'(-42.833333--38.85]\'','\'(-inf-2.104333]\'','\'(-inf-5029.725]\'',no
cellular,admin.,jul,nonexistent,2008,'\'(30.5-44]\'','\'(93.911667-94.339333]\'','\'(-42.833333--38.85]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
cellular,admin.,aug,nonexistent,2008,0-30.5,'\'(93.056333-93.484]\'','\'(-38.85--34.866667]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
cellular,admin.,jul,nonexistent,2008,0-30.5,'\'(93.911667-94.339333]\'','\'(-42.833333--38.85]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
cellular,services,apr,failure,2009,'\'(30.5-44]\'','\'(93.056333-93.484]\'','\'(-inf--46.816667]\'','\'(-inf-2.104333]\'','\'(5095.85-5161.975]\'',no
cellular,technician,may,nonexistent,2009,0-30.5,'\'(92.628667-93.056333]\'','\'(-46.816667--42.833333]\'','\'(-inf-2.104333]\'','\'(5095.85-5161.975]\'',no
cellular,admin.,sep,nonexistent,2010,'\'(30.5-44]\'','\'(93.911667-94.339333]\'','\'(-38.85--34.866667]\'','\'(-inf-2.104333]\'','\'(-inf-5029.725]\'',yes
cellular,blue-collar,jul,nonexistent,2008,0-30.5,'\'(93.911667-94.339333]\'','\'(-42.833333--38.85]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
cellular,technician,jul,nonexistent,2008,0-30.5,'\'(93.911667-94.339333]\'','\'(-42.833333--38.85]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
cellular,services,nov,nonexistent,2010,'\'(30.5-44]\'','\'(94.339333-inf)\'','\'(-inf--46.816667]\'',?,'\'(-inf-5029.725]\'',no
cellular,housemaid,dec,nonexistent,2009,'\'(44-57.5]\'','\'(92.628667-93.056333]\'','\'(-34.866667--30.883333]\'','\'(-inf-2.104333]\'','\'(-inf-5029.725]\'',no
cellular,retired,sep,nonexistent,2011,'\'(57.5-71]\'','\'(93.911667-94.339333]\'','\'(-38.85--34.866667]\'','\'(-inf-2.104333]\'','\'(-inf-5029.725]\'',yes
cellular,retired,jul,nonexistent,2010,'\'(57.5-71]\'','\'(93.911667-94.339333]\'','\'(-42.833333--38.85]\'','\'(-inf-2.104333]\'','\'(-inf-5029.725]\'',yes
cellular,student,aug,success,2011,0-30.5,'\'(93.911667-94.339333]\'','\'(-38.85--34.866667]\'','\'(-inf-2.104333]\'','\'(-inf-5029.725]\'',yes
cellular,admin.,nov,nonexistent,2008,'\'(44-57.5]\'','\'(93.056333-93.484]\'','\'(-42.833333--38.85]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
cellular,unemployed,aug,nonexistent,2008,'\'(30.5-44]\'','\'(93.056333-93.484]\'','\'(-38.85--34.866667]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
telephone,services,may,nonexistent,2008,'\'(44-57.5]\'','\'(93.911667-94.339333]\'','\'(-38.85--34.866667]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
cellular,self-employed,jul,nonexistent,2008,'\'(44-57.5]\'','\'(93.911667-94.339333]\'','\'(-42.833333--38.85]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
cellular,housemaid,nov,failure,2008,'\'(44-57.5]\'','\'(93.056333-93.484]\'','\'(-42.833333--38.85]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
cellular,blue-collar,may,failure,2009,'\'(44-57.5]\'','\'(92.628667-93.056333]\'','\'(-46.816667--42.833333]\'','\'(-inf-2.104333]\'','\'(5095.85-5161.975]\'',no
cellular,blue-collar,jul,nonexistent,2008,'\'(30.5-44]\'','\'(93.911667-94.339333]\'','\'(-42.833333--38.85]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
telephone,self-employed,nov,nonexistent,2008,'\'(30.5-44]\'','\'(93.056333-93.484]\'','\'(-42.833333--38.85]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
cellular,technician,aug,nonexistent,2008,'\'(30.5-44]\'','\'(93.056333-93.484]\'','\'(-38.85--34.866667]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
cellular,services,apr,success,2011,'\'(44-57.5]\'','\'(93.484-93.911667]\'','\'(-34.866667--30.883333]\'','\'(-inf-2.104333]\'','\'(-inf-5029.725]\'',no
telephone,student,may,nonexistent,2008,0-30.5,'\'(93.911667-94.339333]\'','\'(-38.85--34.866667]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
cellular,services,jul,nonexistent,2008,'\'(30.5-44]\'','\'(93.911667-94.339333]\'','\'(-42.833333--38.85]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',yes
telephone,blue-collar,aug,nonexistent,2008,'\'(44-57.5]\'','\'(93.056333-93.484]\'','\'(-38.85--34.866667]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
telephone,technician,jun,nonexistent,2008,'\'(44-57.5]\'','\'(94.339333-inf)\'','\'(-42.833333--38.85]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
telephone,blue-collar,may,nonexistent,2008,'\'(44-57.5]\'','\'(93.911667-94.339333]\'','\'(-38.85--34.866667]\'',?,'\'(5161.975-inf)\'',no
cellular,unemployed,aug,nonexistent,2008,'\'(30.5-44]\'','\'(93.056333-93.484]\'','\'(-38.85--34.866667]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
telephone,blue-collar,may,nonexistent,2008,0-30.5,'\'(93.911667-94.339333]\'','\'(-38.85--34.866667]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
cellular,blue-collar,may,failure,2009,0-30.5,'\'(92.628667-93.056333]\'','\'(-46.816667--42.833333]\'','\'(-inf-2.104333]\'','\'(5095.85-5161.975]\'',no
cellular,admin.,apr,nonexistent,2009,0-30.5,'\'(93.056333-93.484]\'','\'(-inf--46.816667]\'',?,'\'(5095.85-5161.975]\'',no
cellular,management,sep,failure,2010,'\'(30.5-44]\'','\'(93.911667-94.339333]\'','\'(-38.85--34.866667]\'','\'(-inf-2.104333]\'','\'(-inf-5029.725]\'',yes
telephone,technician,may,nonexistent,2008,'\'(30.5-44]\'','\'(93.911667-94.339333]\'','\'(-38.85--34.866667]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
cellular,admin.,aug,nonexistent,2008,'\'(44-57.5]\'','\'(93.056333-93.484]\'','\'(-38.85--34.866667]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
cellular,admin.,aug,nonexistent,2008,'\'(30.5-44]\'','\'(93.056333-93.484]\'','\'(-38.85--34.866667]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
telephone,blue-collar,may,nonexistent,2009,'\'(30.5-44]\'','\'(92.628667-93.056333]\'','\'(-46.816667--42.833333]\'','\'(-inf-2.104333]\'','\'(5095.85-5161.975]\'',no
telephone,retired,jul,nonexistent,2008,'\'(30.5-44]\'','\'(93.911667-94.339333]\'','\'(-42.833333--38.85]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
cellular,housemaid,jun,nonexistent,2009,'\'(57.5-71]\'','\'(92.628667-93.056333]\'','\'(-42.833333--38.85]\'','\'(-inf-2.104333]\'','\'(5029.725-5095.85]\'',no
telephone,blue-collar,may,nonexistent,2008,'\'(30.5-44]\'','\'(93.911667-94.339333]\'','\'(-38.85--34.866667]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
telephone,retired,may,nonexistent,2008,'\'(44-57.5]\'','\'(93.911667-94.339333]\'','\'(-38.85--34.866667]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
cellular,admin.,jun,failure,2009,0-30.5,'\'(92.628667-93.056333]\'','\'(-42.833333--38.85]\'','\'(-inf-2.104333]\'','\'(5029.725-5095.85]\'',no
cellular,retired,sep,nonexistent,2009,'\'(57.5-71]\'','\'(-inf-92.628667]\'','\'(-30.883333-inf)\'','\'(-inf-2.104333]\'','\'(-inf-5029.725]\'',yes
telephone,housemaid,jun,nonexistent,2008,'\'(44-57.5]\'','\'(94.339333-inf)\'','\'(-42.833333--38.85]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
telephone,admin.,may,nonexistent,2008,0-30.5,'\'(93.911667-94.339333]\'','\'(-38.85--34.866667]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
cellular,technician,oct,nonexistent,2011,'\'(30.5-44]\'','\'(94.339333-inf)\'','\'(-inf--46.816667]\'','\'(-inf-2.104333]\'','\'(-inf-5029.725]\'',yes
cellular,entrepreneur,apr,failure,2009,'\'(44-57.5]\'','\'(93.056333-93.484]\'','\'(-inf--46.816667]\'','\'(-inf-2.104333]\'','\'(5095.85-5161.975]\'',no
cellular,admin.,apr,nonexistent,2009,0-30.5,'\'(93.056333-93.484]\'','\'(-inf--46.816667]\'','\'(-inf-2.104333]\'','\'(5095.85-5161.975]\'',yes
telephone,retired,may,nonexistent,2008,'\'(44-57.5]\'','\'(93.911667-94.339333]\'','\'(-38.85--34.866667]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
telephone,services,jun,nonexistent,2008,'\'(44-57.5]\'','\'(94.339333-inf)\'','\'(-42.833333--38.85]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
cellular,blue-collar,aug,nonexistent,2008,'\'(44-57.5]\'','\'(93.056333-93.484]\'','\'(-38.85--34.866667]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
telephone,admin.,may,nonexistent,2008,'\'(44-57.5]\'','\'(93.911667-94.339333]\'','\'(-38.85--34.866667]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
cellular,entrepreneur,jul,nonexistent,2008,'\'(30.5-44]\'','\'(93.911667-94.339333]\'','\'(-42.833333--38.85]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
cellular,management,nov,failure,2009,'\'(30.5-44]\'','\'(92.628667-93.056333]\'','\'(-30.883333-inf)\'','\'(-inf-2.104333]\'','\'(-inf-5029.725]\'',yes
telephone,self-employed,may,nonexistent,2008,'\'(30.5-44]\'','\'(93.911667-94.339333]\'','\'(-38.85--34.866667]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
telephone,technician,jun,nonexistent,2008,'\'(30.5-44]\'','\'(94.339333-inf)\'','\'(-42.833333--38.85]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
cellular,blue-collar,may,nonexistent,2009,'\'(30.5-44]\'','\'(92.628667-93.056333]\'','\'(-46.816667--42.833333]\'','\'(-inf-2.104333]\'','\'(5095.85-5161.975]\'',no
cellular,admin.,jul,nonexistent,2008,'\'(30.5-44]\'','\'(93.911667-94.339333]\'','\'(-42.833333--38.85]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',yes
cellular,unemployed,may,nonexistent,2009,'\'(30.5-44]\'','\'(92.628667-93.056333]\'','\'(-46.816667--42.833333]\'','\'(-inf-2.104333]\'','\'(5095.85-5161.975]\'',no
cellular,admin.,apr,nonexistent,2009,'\'(44-57.5]\'','\'(93.056333-93.484]\'','\'(-inf--46.816667]\'',?,'\'(5095.85-5161.975]\'',no
cellular,admin.,jul,nonexistent,2008,'\'(30.5-44]\'','\'(93.911667-94.339333]\'','\'(-42.833333--38.85]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
cellular,technician,apr,failure,2009,'\'(30.5-44]\'','\'(93.056333-93.484]\'','\'(-inf--46.816667]\'','\'(-inf-2.104333]\'','\'(5095.85-5161.975]\'',no
cellular,retired,nov,failure,2008,'\'(57.5-71]\'','\'(93.056333-93.484]\'','\'(-42.833333--38.85]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
telephone,services,jun,nonexistent,2008,'\'(44-57.5]\'','\'(94.339333-inf)\'','\'(-42.833333--38.85]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
cellular,student,apr,nonexistent,2009,0-30.5,'\'(93.056333-93.484]\'','\'(-inf--46.816667]\'','\'(-inf-2.104333]\'','\'(5095.85-5161.975]\'',no
telephone,blue-collar,jun,nonexistent,2008,'\'(44-57.5]\'','\'(94.339333-inf)\'','\'(-42.833333--38.85]\'',?,'\'(5161.975-inf)\'',no
telephone,technician,jun,nonexistent,2008,0-30.5,'\'(94.339333-inf)\'','\'(-42.833333--38.85]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
telephone,blue-collar,may,nonexistent,2008,0-30.5,'\'(93.911667-94.339333]\'','\'(-38.85--34.866667]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
cellular,admin.,may,failure,2009,0-30.5,'\'(92.628667-93.056333]\'','\'(-46.816667--42.833333]\'','\'(-inf-2.104333]\'','\'(5095.85-5161.975]\'',no
cellular,admin.,jul,success,2011,0-30.5,'\'(93.911667-94.339333]\'','\'(-42.833333--38.85]\'','\'(-inf-2.104333]\'','\'(-inf-5029.725]\'',no
cellular,technician,nov,nonexistent,2008,'\'(44-57.5]\'','\'(93.056333-93.484]\'','\'(-42.833333--38.85]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
cellular,admin.,apr,nonexistent,2009,'\'(30.5-44]\'','\'(93.056333-93.484]\'','\'(-inf--46.816667]\'','\'(-inf-2.104333]\'','\'(5095.85-5161.975]\'',no
cellular,admin.,jul,nonexistent,2008,'\'(30.5-44]\'','\'(93.911667-94.339333]\'','\'(-42.833333--38.85]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',yes
telephone,blue-collar,may,nonexistent,2008,'\'(44-57.5]\'','\'(93.911667-94.339333]\'','\'(-38.85--34.866667]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
telephone,admin.,jul,nonexistent,2008,0-30.5,'\'(93.911667-94.339333]\'','\'(-42.833333--38.85]\'',?,'\'(5161.975-inf)\'',no
cellular,admin.,aug,nonexistent,2008,'\'(30.5-44]\'','\'(93.056333-93.484]\'','\'(-38.85--34.866667]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
cellular,admin.,mar,nonexistent,2010,0-30.5,'\'(93.056333-93.484]\'','\'(-34.866667--30.883333]\'','\'(-inf-2.104333]\'','\'(-inf-5029.725]\'',yes
cellular,retired,jul,nonexistent,2008,'\'(44-57.5]\'','\'(93.911667-94.339333]\'','\'(-42.833333--38.85]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
cellular,admin.,may,failure,2009,'\'(30.5-44]\'','\'(92.628667-93.056333]\'','\'(-46.816667--42.833333]\'','\'(-inf-2.104333]\'','\'(5095.85-5161.975]\'',no
telephone,blue-collar,jun,nonexistent,2008,'\'(30.5-44]\'','\'(94.339333-inf)\'','\'(-42.833333--38.85]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
telephone,blue-collar,jun,nonexistent,2008,'\'(44-57.5]\'','\'(94.339333-inf)\'','\'(-42.833333--38.85]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
cellular,admin.,jul,nonexistent,2008,0-30.5,'\'(93.911667-94.339333]\'','\'(-42.833333--38.85]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
telephone,blue-collar,jun,nonexistent,2008,'\'(30.5-44]\'','\'(94.339333-inf)\'','\'(-42.833333--38.85]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
telephone,blue-collar,may,nonexistent,2008,'\'(44-57.5]\'','\'(93.911667-94.339333]\'','\'(-38.85--34.866667]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
cellular,self-employed,mar,nonexistent,2010,'\'(30.5-44]\'','\'(93.056333-93.484]\'','\'(-34.866667--30.883333]\'','\'(-inf-2.104333]\'','\'(-inf-5029.725]\'',yes
cellular,admin.,jul,nonexistent,2008,0-30.5,'\'(93.911667-94.339333]\'','\'(-42.833333--38.85]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
cellular,technician,aug,nonexistent,2008,0-30.5,'\'(93.056333-93.484]\'','\'(-38.85--34.866667]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
cellular,admin.,aug,success,2009,'\'(30.5-44]\'','\'(-inf-92.628667]\'','\'(-34.866667--30.883333]\'','\'(-inf-2.104333]\'','\'(5029.725-5095.85]\'',yes
cellular,technician,may,nonexistent,2009,0-30.5,'\'(92.628667-93.056333]\'','\'(-46.816667--42.833333]\'','\'(-inf-2.104333]\'','\'(5095.85-5161.975]\'',no
cellular,technician,aug,nonexistent,2008,'\'(30.5-44]\'','\'(93.056333-93.484]\'','\'(-38.85--34.866667]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
cellular,blue-collar,jul,nonexistent,2008,'\'(44-57.5]\'','\'(93.911667-94.339333]\'','\'(-42.833333--38.85]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',yes
cellular,services,jul,nonexistent,2008,'\'(30.5-44]\'','\'(93.911667-94.339333]\'','\'(-42.833333--38.85]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',yes
telephone,admin.,may,nonexistent,2008,'\'(30.5-44]\'','\'(93.911667-94.339333]\'','\'(-38.85--34.866667]\'','\'(3.574667-inf)\'','\'(5161.975-inf)\'',no
cellular,retired,jun,nonexistent,2011,'\'(71-84.5]\'','\'(93.911667-94.339333]\'','\'(-42.833333--38.85]\'','\'(-inf-2.104333]\'','\'(-inf-5029.725]\'',yes
