Authors;Title;Year;Source title;Volume;Issue;Art. No.;Page start;Page end;Page count;Cited by;Link;Abstract;Domain
Kolotzek C., Helbig C., Thorenz A., Reller A., Tuma A.;A company-oriented model for the assessment of raw material supply risks, environmental impact and social implications;2018;Journal of Cleaner Production;176;;;566;580;;1;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040659575&doi=10.1016%2fj.jclepro.2017.12.162&partnerID=40&md5=c1fbb79f2fb3ced8e0156ba318210b12;Since manufacturers are the main drivers in the selection of the materials used in their products, they have a special responsibility for investigating the accompanying sustainability aspects. The recently increased attention they pay to these issues is motivated not only by a sense of social responsibility, but also by pressure from customers and competitors. In particular, the three dimensions of sustainability – based on the triple bottom line of economic, environmental and social criteria – are of growing importance for sustainable supply chain management. Raw materials and their supply chains are often at the focus of attention, since manufacturers may need to diversify them for their products. Appropriate assessment models then become essential. Although raw material assessments and raw material-focused decision support schemes have recently been applied more often in the corporate context, several aspects such as indicator selection, weighting or social assessment are rarely considered. As a result, a comprehensive, sustainability-oriented raw material assessment and decision support scheme in the corporate context is not available in the scientific literature. In the design of such a scheme, four questions arise: First, how should a corporate-oriented raw material assessment model be structured? Second, how can all three sustainability dimensions be taken into account? Third, how can the application of raw material assessments in a corporate-oriented decision-making process increase the sustainability level of a company? And fourth, does a methodically structured raw material assessment model have advantages over existing models? To answer these questions, we have developed a model which takes into account state-of-the-art sustainability assessments as well as recent developments in the field of criticality analysis, life cycle impact assessment (LCIA) and social life cycle assessment (SLCA). With partners from both academia and industry we identify relevant quantitative indicators for structuring the assessment model and for calculating corresponding indicator weightings, using the analytic hierarchy process (AHP). To demonstrate the applicability of the assessment model for decision support and its benefits for companies in identifying potential hotspots in raw material supply chains, we present a case study that includes decision support for selecting capacitor technologies. A sensitivity analysis demonstrates the robustness of the assessments. In short, this article presents a sustainability-oriented raw material assessment and decision support model and proposes how it should be applied in a corporate context. © 2017 Elsevier Ltd;
Liu J., Timsina P., El-Gayar O.;A comparative analysis of semi-supervised learning: The case of article selection for medical systematic reviews;2018;Information Systems Frontiers;20;2;;195;207;;1;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84996558280&doi=10.1007%2fs10796-016-9724-0&partnerID=40&md5=91be9a1192ae51d24a101081ab792f9a;While systematic reviews are positioned as an essential element of modern evidence-based medical practice, the creation of these reviews is resource intensive. To mitigate this problem, there have been some attempts to leverage supervised machine learning to automate the article triage procedure. This approach has been proved to be helpful for updating existing systematic reviews. However, this technique holds very little promise for creating new reviews because training data is rarely available when it comes to systematic creation. In this research we assess and compare the applicability of semi-supervised learning to overcome this labeling bottleneck and support the creation of systematic reviews. The results indicated that semi-supervised learning could significantly reduce the human effort and is a viable technique for automating medical systematic review creation with a small-sized training dataset. © 2016, Springer Science+Business Media New York.;
Wang X., Yang C., Guan R.;A comparative study for biomedical named entity recognition;2018;International Journal of Machine Learning and Cybernetics;9;3;;373;382;;2;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042223524&doi=10.1007%2fs13042-015-0426-6&partnerID=40&md5=1195fe49ffa7065e167ec381ee90baa6;With high-throughput technologies applied in biomedical research, the quantity of biomedical literatures grows exponentially. It becomes more and more important to quickly as well as accurately extract knowledge from manuscripts, especially in the era of big data. Named entity recognition (NER), aiming at identifying chunks of text that refers to specific entities, is essentially the initial step for information extraction. In this paper, we will review the three models of biomedical NER and two famous machine learning methods, Hidden Markov Model and Conditional Random Fields, which have been widely applied in bioinformatics. Based on these two methods, six excellent biomedical NER tools are compared in terms of programming language, feature sets, underlying mathematical methods, post-processing techniques and flowcharts. Experimental results of these tools against two widely used corpora, GENETAG and JNLPBA, are conducted. The comparison varies from different entity types to the overall performance. Furthermore, we put forward suggestions about the selection of Bio-NER tools for different applications. © 2015, Springer-Verlag Berlin Heidelberg.;
Reuter U., Sultan A., Reischl D.S.;A comparative study of machine learning approaches for modeling concrete failure surfaces;2018;Advances in Engineering Software;116;;;67;79;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038020611&doi=10.1016%2fj.advengsoft.2017.11.006&partnerID=40&md5=e85421ffd61f131d9f9c1bf89adc8c5d;This study introduces an enhanced approach for concrete failure criterion, which is strongly needed for a realistic simulation of concrete behavior, by employing machine learning approaches instead of the traditional models of failure surfaces. Since the shape of concrete failure surfaces is not exactly known, a general shape function for verification purposes of the machine learning approaches is introduced. Artificial neural networks, support vector machines, and support vector regression are adapted to model realizations of this general shape function with different noise levels. After the successful fitting of these surfaces, the algorithms are employed to model the failure surface of C25 concrete starting from 88 experimental tests. The three approaches are able to fit the experimental data with low error and are compared to one another. Drucker–Prager and Bresler–Pister surfaces are solved for the same experimental data and compared with the support vector regression surface. The main advantage of machine learning approaches is that they are model-free approaches which eliminate the need of new models for new concrete types. © 2017 Elsevier Ltd;
Ouahilal M., Mohajir M.E., Chahhou M., Mohajir B.E.E.;A comparative study of predictive algorithms for business analytics and decision support systems: Finance as a case study;2016;2016 International Conference on Information Technology for Organizations Development, IT4OD 2016;;;7479258;;;;1;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978042263&doi=10.1109%2fIT4OD.2016.7479258&partnerID=40&md5=de05a1ed0fe92871fbe45b369335e08e;Stock market prediction is regarded as a challenging task of financial time-series prediction. There have been many studies using machine learning techniques in this area. A large number of successful applications have shown that regression algorithms can be very useful tools for time-series modelling and forecasting. In this paper we run a comparative study of three of these algorithms: Multiple Linear Regression, Support Vector Regression and Decision Tree Regression in order to determine their performances in term of implementing financial time series forecasts. To assess the performance of these algorithms, we have conducted experiments using L'Oréal financial dataset. The results exhibit that support vector regression produced the best forecasts. © 2016 IEEE.;
Kececi B., Derya T., Dinler E., Ic Y.T.;A comparative study of the capability of alternative mixed integer programming formulations;2018;Technological and Economic Development of Economy;24;2;;561;584;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019069972&doi=10.3846%2f20294913.2016.1213202&partnerID=40&md5=224f0002e457d710bf3cf75c9f1ec20e;In selecting the best mixed integer linear programming (MILP) formulation the important issue is to figure out how to evaluate the performance of each candidate formulation in terms of selected criteria. The main objective of this study is to propose a systematic approach to guide the selection of the best MILP formulation among the alternatives according to the needs of the decision maker. For this reason we consider the problem of “selecting the most appropriate MILP formulation for a certain type of decision maker” as a multi-criteria decision making problem and present an integrated AHP-TOPSIS decision making methodology to select the most appropriate formulation. As an example the proposed decision making methodology is implemented on the selection of the MILP formulations of the Capacitated Vehicle Routing Problem (CVRP). A numerical example is provided for illustrative purposes. As a result, the proposed decision model can be a tool for the decision makers (here they are the scientists, engineers and practitioners) who intend to choose the appropriate mathematical model(s) among the alternatives according to their needs on their studies. The integrated AHP-TOPSIS approach can simply be incorporated into a computer-based decision support system since it has simplicity in both computation and application. © 2017 Vilnius Gediminas Technical University (VGTU) Press.;
Srilakshmi A., Rakkini J., Sekar K.R., Manikandan R.;A comparative study on Internet of Things (IoT) and its applications in smart agriculture;2018;Pharmacognosy Journal;10;2;;260;264;;1;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041104577&doi=10.5530%2fpj.2018.2.46&partnerID=40&md5=9b1390172092ce901ae7867ba39ab6fd;Agriculture plays a vital role in country’s economy and it has an extensive contribution towards human civilization. Due to the growing expansions in sensor devices, RFID and Internet protocols the architecture of Internet of Things (IoT) has been made to support agriculture by making a Smart agriculture. This paper describes the implementation of various IoT techniques and intelligent decision support systems used in agriculture. It provides a wide review on methods and technologies like ANFIS and PLSR Model predictions, experiences in various challenges as well as further work are discussed through the review article. © 2018 Phcog.Net.;
Ozkaya U., Seyfi L.;A comparative study on parameters of leaf-shaped patch antenna using hybrid artificial intelligence network models;2018;Neural Computing and Applications;29;8;;35;45;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992130068&doi=10.1007%2fs00521-016-2620-1&partnerID=40&md5=74db411d4fec7d8139bab3f32ad24844;This study proposes a very compact coaxial-fed planar antenna for X band applications. The antenna design includes a tulip-shaped radiator on the FR4 dielectric substrate. The antenna parameters, such as return losses, bandwidth and operating frequency, have close relationships with patch geometry. In order to obtain desired antenna parameters for X band application, patch dimension is necessary to be optimized. In this article, four different hybrid artificial intelligence network models are suggested for optimization. These are particle swarm optimization, differential evolution, grey wolf optimizer and vortex search algorithm. Also, they are combined with artificial neural network for the purpose of estimating dimension of patch. Therefore, the comparison of different proposed algorithms is analyzed to obtain higher characteristics for antenna design. Their results are compared with each other in HFSS 13.0 software. The antenna with the most suitable return loss, bandwidth and operating frequency is selected to be used in antenna design. © 2016, The Natural Computing Applications Forum.;
Frimpon M.F., Adaku E.;A comparison of high-speed internet service in Ghana: an analytical hierarchy approach;2018;Information Technology and People;31;1;;181;198;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041389187&doi=10.1108%2fITP-06-2016-0143&partnerID=40&md5=5e1277d69c2b0e9224a3eee8377c7dcf;Purpose: The rising proportion of internet users in Sub-Saharan Africa and the lack of analytical techniques, as decision support systems, in choosing among alternative internet service providers (ISPs) by consumers underpin this study. The purpose of this paper is to propose an approach for evaluating high-speed internet service offered by ISPs in a sub-Saharan African country. Design/methodology/approach: Using a sample size of 150, pairwise comparisons of two ISPs along five criteria of cost, usability, support, reliability and speed were performed by ten person groups of university students working in various organizations in Ghana and undertaking an online Six Sigma Course. Geometric means were employed to aggregate the scores in 15 groups, and these scores were then normalized and used as input into an analytical hierarchy process grid. Findings: The results show that consumers of internet services highly emphasize the cost attribute of internet provision in their decision making. On the other hand, it was realized that consumers least emphasize the support provided by ISPs in their decision making among alternative ISPs. Originality/value: This study has sought to provide an analytical framework for assessing the quality of service provided by alternative ISPs in a developing economy’s context. The evaluating criteria in this framework also reveal the key consumer requirements in internet service provision in a developing economy’s environment. This, to a large extent, will inform the marketing strategies of existing ISPs in Ghana as well as prospective ones intending to enter the Ghanaian market. Besides, the National Communication Authority, a regulator of communication services provision in Ghana, will be informed about the performances of the ISPs along five performance criteria. This is expected to aid in their regulatory functions. © 2018, Emerald Publishing Limited.;
Liu F.-L., Zhang B.-W., Ciucci D., Wu W.-Z., Min F.;A comparison study of similarity measures for covering-based neighborhood classifiers;2018;Information Sciences;448-449;;;1;17;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043765914&doi=10.1016%2fj.ins.2018.03.030&partnerID=40&md5=5fa932ae39cff5efecad587a5eb60e12;In data mining, neighborhood classifiers are valid not only for numeric data but also symbolic data. The key issue for a neighborhood classifier is how to measure the similarity between two instances. In this paper, we compare six similarity measures, Overlap, Eskin, occurrence frequency (OF), inverse OF (IOF), Goodall3, and Goodall4, for symbolic data under the framework of a covering-based neighborhood classifier. In the training stage, a covering of the universe is built based on the given similarity measure. Then a covering reduction algorithm is used to remove some of these covering blocks and determine the representatives. In the testing stage, the similarities between all unlabeled instances and representatives are computed. The closest representative or a few representatives determine the predicted class label of the unlabeled instance. We compared the six similarity measures in experiments on 15 University of California-Irvine (UCI) datasets. The results demonstrate that although no measure dominated the others in all scenarios, some measures had consistently high performance. The covering-based neighborhood classifier with appropriate similarity measures, such as Overlap, IOF, and OF, was better than ID3, C4.5, and the Na?ve Bayes classifiers. © 2018 Elsevier Inc.;
Gómez-García E., Azevedo J.C., Pérez-Rodríguez F.;A compiled project and open-source code to generate web-based forest modelling simulators;2018;Computers and Electronics in Agriculture;147;;;1;5;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042192826&doi=10.1016%2fj.compag.2018.02.010&partnerID=40&md5=990ea9d4b4e2428f7a42dc8978c0a365;Sustainable forest management requires decision support systems to evaluate possible scenarios and anticipate the consequences of decisions. Forest modellers typically develop complex systems of equations to predict the behaviour of forests which makes the use of forest models difficult for end-users in general, affecting transfer of knowledge and technology. To overcome these difficulties and facilitate their practical use, models can be integrated into software to generate user-friendly forest simulators. In this paper we introduce and describe ForestMTIS, a cloud computing compiled and editable open-source project to generate forest simulators which was developed for statistical, non-spatial, deterministic, disaggregated, single species even-aged stand growth and yield models. We demonstrate the use of ForestMTIS based on the development of FlorNExT® its first practical application, based on a collaborative approach to make growth and yield modelling and sustainable forest management available to a large community of users in the Northeast of Portugal. © 2018 Elsevier B.V.;
Gómez-García E., Azevedo J.C., Pérez-Rodríguez F.;A compiled project and open-source code to generate web-based forest modelling simulators;2018;Computers and Electronics in Agriculture;147;;;1;5;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042192826&doi=10.1016%2fj.compag.2018.02.010&partnerID=40&md5=990ea9d4b4e2428f7a42dc8978c0a365;Sustainable forest management requires decision support systems to evaluate possible scenarios and anticipate the consequences of decisions. Forest modellers typically develop complex systems of equations to predict the behaviour of forests which makes the use of forest models difficult for end-users in general, affecting transfer of knowledge and technology. To overcome these difficulties and facilitate their practical use, models can be integrated into software to generate user-friendly forest simulators. In this paper we introduce and describe ForestMTIS, a cloud computing compiled and editable open-source project to generate forest simulators which was developed for statistical, non-spatial, deterministic, disaggregated, single species even-aged stand growth and yield models. We demonstrate the use of ForestMTIS based on the development of FlorNExT® its first practical application, based on a collaborative approach to make growth and yield modelling and sustainable forest management available to a large community of users in the Northeast of Portugal. © 2018 Elsevier B.V.;
Chae B.;A complexity theory approach to IT-enabled services (IESs) and service innovation: Business analytics as an illustration of IES;2014;Decision Support Systems;57;1;;1;10;;20;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892364312&doi=10.1016%2fj.dss.2013.07.005&partnerID=40&md5=96c4f7dfd2361b09167b75f46b35c7ea;While firms view services as the main source of their revenue and competitive advantage, understanding of service and service innovation is limited. This lack of understanding is especially significant in IT-Enabled Services (IESs) and IES innovation. Much work is needed to understand the contemporary trend of integrating diverse material and social resources to address complex organizational and individual needs. This article proposes a novel framework for IES and IES innovation and develops propositions and implications for research and practice. This work draws upon the tenet of complexity theory and conceptualizes IES as complex adaptive systems (CAS), with such properties and behaviors as diverse adaptive elements, nonlinear interaction, self-organization, and adaptive learning, and IES innovation as a co-evolutionary process of variation, selection, and retention (VSR). The proposed framework is illustrated using business analytics (BA) as a new kind of decision support service (DSS) throughout this paper. Several propositions are developed. Finally, we present a discussion and implications. © 2013 Elsevier B.V.;
Kung S.Y.;A Compressive Privacy approach to Generalized Information Bottleneck and Privacy Funnel problems;2018;Journal of the Franklin Institute;355;4;;1846;1872;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026385440&doi=10.1016%2fj.jfranklin.2017.07.002&partnerID=40&md5=ccc83234ddb4b2501aa32d662d54dad4;This paper explores a Compressive Privacy (CP) methodology for optimal tradeoff between utility gain and privacy loss. CP represents a dimension-reduced subspace design of optimally desensitized query that may be safely shared with the public. Built upon the information and estimation theory, this paper proposes a “differential mutual information” (DMI) criterion to safeguard the privacy protection (PP). Algorithmically, DMI-optimal solutions can be derived via the Discriminant Component Analysis (DCA). Moreover, DCA has two machine learning variants (one in the original space and another is the kernel space) good for supervised learning applications. By extending the notion of DMI to the utility gain and privacy loss, CP unifies the conventional Information Bottleneck (IB) and Privacy Funnel (PF) and lead to two constrained optimizers, named Generalized Information Bottleneck (GIB) and Generalized Privacy Funnel (GPF). In the supervised learning environments, DCA can be further extended to a DUCA machine learning variant to reach an optimal tradeoff between utility gain and privacy loss. Finally, for fast convergence, a golden-section iterative method is developed particularly for solving the two constrained optimization problems: GIB and GPF. © 2017;
Kabir E., Siuly, Cao J., Wang H.;A computer aided analysis scheme for detecting epileptic seizure from EEG data;2018;International Journal of Computational Intelligence Systems;11;1;;663;671;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045662327&doi=10.2991%2fijcis.11.1.51&partnerID=40&md5=aaf9e07bec403ad07610ff2314a858a0;"This paper presents a computer aided analysis system for detecting epileptic seizure from electroencephalogram (EEG) signal data. As EEG recordings contain a vast amount of data, which is heterogeneous with respect to a time-period, we intend to introduce a clustering technique to discover different groups of data according to similarities or dissimilarities among the patterns. In the proposed methodology, we use K-means clustering for partitioning each category EEG data set (e.g. healthy; epileptic seizure) into several clusters and then extract some representative characteristics from each cluster. Subsequently, we integrate all the features from all the clusters in one feature set and then evaluate that feature set by three well-known machine learning methods: Support Vector Machine (SVM), Naive bayes and Logistic regression. The proposed method is tested by a publicly available benchmark database: ‘Epileptic EEG database’. The experimental results show that the proposed scheme with SVM classifier yields overall accuracy of 100% for classifying healthy vs epileptic seizure signals and outperforms all the recent reported existing methods in the literature. The major finding of this research is that the proposed K-means clustering based approach has an ability to efficiently handle EEG data for the detection of epileptic seizure. © 2018, the Authors.";
Kharazmi P., Zheng J., Lui H., Jane Wang Z., Lee T.K.;A Computer-Aided Decision Support System for Detection and Localization of Cutaneous Vasculature in Dermoscopy Images Via Deep Feature Learning;2018;Journal of Medical Systems;42;2;33;;;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040375669&doi=10.1007%2fs10916-017-0885-2&partnerID=40&md5=f9d6c38fc7dc3a300d466a2efbcfb683;"Vascular structures of skin are important biomarkers in diagnosis and assessment of cutaneous conditions. Presence and distribution of lesional vessels are associated with specific abnormalities. Therefore, detection and localization of cutaneous vessels provide critical information towards diagnosis and stage status of diseases. However, cutaneous vessels are highly variable in shape, size, color and architecture, which complicate the detection task. Considering the large variability of these structures, conventional vessel detection techniques lack the generalizability to detect different vessel types and require separate algorithms to be designed for each type. Furthermore, such techniques are highly dependent on precise hand-crafted features which are time-consuming and computationally inefficient. As a solution, we propose a data-driven feature learning framework based on stacked sparse auto-encoders (SSAE) for comprehensive detection of cutaneous vessels. Each training image is divided into small patches of either containing or non-containing vasculature. A multilayer SSAE is designed to learn hidden features of the data in hierarchical layers in an unsupervised manner. The high-level learned features are subsequently fed into a classifier which categorizes each patch into absence or presence of vasculature and localizes vessels within the lesion. Over a test set of 3095 patches derived from 200 images, the proposed framework demonstrated superior performance of 95.4% detection accuracy over a variety of vessel patterns; outperforming other techniques by achieving the highest positive predictive value of 94.7%. The proposed Computer-Aided Diagnosis (CAD) framework can serve as a decision support system assisting dermatologists for more accurate diagnosis, especially in teledermatology applications in remote areas. © 2018, Springer Science+Business Media, LLC, part of Springer Nature.";
Partheeban N., Ali A.M.;A conceptual analysis: Adaptive learning environment using AI techniques;2018;International Journal of Pure and Applied Mathematics;118;Special Issue 10;;353;362;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044870895&doi=10.12732%2fijpam.v118i10.76&partnerID=40&md5=3980e3aea2e4dff84cea8e4339842cda;In this paper, we exhibit a hands-on implementation of a Multi User specialized research center that involves Artificial Intelligence (AI), Share-it (SI), Bluetooth (BT) procedures. The main aim is to develop Mlearning environment where students can work in a personalized manner. Applying BT and SI abilities in m-learning domain can be separated into a classroom and utilized by a various learners concurrently. The students performance can be managed by various methods for AI techniques (Scheduling , planning and master frameworks). Incorporating these advances, the entire framework will have the capacity to identify every client, categorize his/her work and review his/her outcomes without or little instructor intercession. However, the instructor will be accounted about the understudy activities and will be prompted when the circumstance requires it. © 2018 Academic Press. All rights reserved.;
Plachkinova M., Vo A., Bhaskar R., Hilton B.;A conceptual framework for quality healthcare accessibility: a scalable approach for big data technologies;2018;Information Systems Frontiers;20;2;;289;302;;3;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84996956043&doi=10.1007%2fs10796-016-9726-y&partnerID=40&md5=330244d28591d802749547c0855a52df;Healthcare accessibility research has been of growing interest for scholars and practitioners. This manuscript classifies prior studies on the Floating Catchment Area methodologies, a prevalent class of methodologies that measure healthcare accessibility, and presents a framework that conceptualizes accessibility computation. We build the Floating Catchment Method General Framework as an IT artifact, following best practices in Design Science Research. We evaluate the utility of our framework by creating an instantiation, as an algorithm, and test it with large healthcare data sets from California. We showcase the practical application of the artifact and address the pressing issue of access to quality healthcare. This example also serves as a prototype for Big Data Analytics, as it presents opportunities to scale the analysis vertically and horizontally. In order for researchers to perform high impact studies and make the world a better place, an overarching framework utilizing Big Data Analytics should be seriously considered. © 2016, Springer Science+Business Media New York.;
