@relation '01_klienci4-weka.filters.unsupervised.attribute.Reorder-R1-2,4-8,3-weka.filters.unsupervised.attribute.Copy-R8-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceprzedzial-R9-weka.filters.unsupervised.attribute.Discretize-B6-M-1.0-R9-precision6-weka.filters.unsupervised.attribute.InterquartileRange-R2-O3.0-E6.0-weka.filters.unsupervised.attribute.Remove-R10-11-weka.filters.unsupervised.attribute.Copy-R2-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceprzedzial_czas rozmowy-R10-weka.filters.unsupervised.attribute.Copy-R10-weka.filters.unsupervised.attribute.Discretize-B6-M-1.0-R10-precision6-weka.filters.supervised.attribute.Discretize-R11-precision6-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceprzedzial_czas rozmowy_supervised-R11-weka.filters.unsupervised.attribute.Reorder-R1-7,10-11,8,9-weka.filters.unsupervised.attribute.Copy-R4-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceDzienTygodnia-R12-weka.filters.unsupervised.attribute.ChangeDateFormat-C12-FEEE-weka.filters.unsupervised.attribute.ChangeDateFormat-C12-F\"EEE\"-weka.filters.unsupervised.attribute.NumericToNominal-R12-weka.filters.unsupervised.attribute.Reorder-R1-9,12,10-11'

@attribute 'numer klienta' {6,12,9,3,7,11,2,5,10,1,8,4,15,13,14}
@attribute 'czas rozmowy' numeric
@attribute przedstawiciel {P03,P02,P05,P01,P04}
@attribute 'data rozmowy' date yyyy-MM-dd
@attribute Oddzia³ {Rzeszów,Wroc³aw,£ódŸ,Warszawa}
@attribute Region {Po³udnie,Zachód,Centrum}
@attribute miesi¹c {9,10,8}
@attribute 'przedzial_czas rozmowy' {'\'(-inf-30.666667]\'','\'(30.666667-60.333333]\'','\'(60.333333-90]\'','\'(90-119.666667]\'','\'(119.666667-149.333333]\'','\'(149.333333-inf)\''}
@attribute 'przedzial_czas rozmowy_supervised' {'\'All\''}
@attribute DzienTygodnia {'\"czw.\"','\"pt.\"','\"sob.\"','\"niedz.\"','\"pon.\"','\"wt.\"','\"?r.\"'}
@attribute 'kwota zakupu' numeric
@attribute przedzial {'\'(-inf-54.166667]\'','\'(54.166667-88.333333]\'','\'(88.333333-122.5]\'','\'(122.5-156.666667]\'','\'(156.666667-190.833333]\'','\'(190.833333-inf)\''}

@data
5,41,P04,2013-10-22,Warszawa,Centrum,10,'\'(30.666667-60.333333]\'','\'All\'','\"wt.\"',174,'\'(156.666667-190.833333]\''
5,140,P03,2013-10-15,Rzeszów,Po³udnie,10,'\'(119.666667-149.333333]\'','\'All\'','\"wt.\"',107,'\'(88.333333-122.5]\''
8,106,P02,2013-08-15,Wroc³aw,Zachód,8,'\'(90-119.666667]\'','\'All\'','\"czw.\"',163,'\'(156.666667-190.833333]\''
8,116,P01,2013-10-24,Warszawa,Centrum,10,'\'(90-119.666667]\'','\'All\'','\"czw.\"',134,'\'(122.5-156.666667]\''
5,113,P01,2013-10-07,Warszawa,Centrum,10,'\'(90-119.666667]\'','\'All\'','\"pon.\"',215,'\'(190.833333-inf)\''
9,149,P03,2013-10-07,Rzeszów,Po³udnie,10,'\'(119.666667-149.333333]\'','\'All\'','\"pon.\"',143,'\'(122.5-156.666667]\''
4,117,P04,2013-08-19,Warszawa,Centrum,8,'\'(90-119.666667]\'','\'All\'','\"pon.\"',208,'\'(190.833333-inf)\''
9,171,P05,2013-09-30,£ódŸ,Centrum,9,'\'(149.333333-inf)\'','\'All\'','\"pon.\"',127,'\'(122.5-156.666667]\''
2,72,P02,2013-08-25,Wroc³aw,Zachód,8,'\'(60.333333-90]\'','\'All\'','\"niedz.\"',156,'\'(122.5-156.666667]\''
10,97,P01,2013-08-15,Warszawa,Centrum,8,'\'(90-119.666667]\'','\'All\'','\"czw.\"',182,'\'(156.666667-190.833333]\''
11,94,P04,2013-09-12,Warszawa,Centrum,9,'\'(90-119.666667]\'','\'All\'','\"czw.\"',140,'\'(122.5-156.666667]\''
10,39,P02,2013-09-05,Wroc³aw,Zachód,9,'\'(30.666667-60.333333]\'','\'All\'','\"czw.\"',193,'\'(190.833333-inf)\''
7,68,P04,2013-09-17,Warszawa,Centrum,9,'\'(60.333333-90]\'','\'All\'','\"wt.\"',138,'\'(122.5-156.666667]\''
11,23,P01,2013-08-30,Warszawa,Centrum,8,'\'(-inf-30.666667]\'','\'All\'','\"pt.\"',49,'\'(-inf-54.166667]\''
3,38,P05,2013-09-21,£ódŸ,Centrum,9,'\'(30.666667-60.333333]\'','\'All\'','\"sob.\"',53,'\'(-inf-54.166667]\''
3,80,P03,2013-08-21,Rzeszów,Po³udnie,8,'\'(60.333333-90]\'','\'All\'','\"?r.\"',157,'\'(156.666667-190.833333]\''
8,135,P03,2013-10-29,Rzeszów,Po³udnie,10,'\'(119.666667-149.333333]\'','\'All\'','\"wt.\"',218,'\'(190.833333-inf)\''
3,129,P05,2013-08-17,£ódŸ,Centrum,8,'\'(119.666667-149.333333]\'','\'All\'','\"sob.\"',124,'\'(122.5-156.666667]\''
5,110,P03,2013-09-17,Rzeszów,Po³udnie,9,'\'(90-119.666667]\'','\'All\'','\"wt.\"',28,'\'(-inf-54.166667]\''
10,57,P02,2013-10-14,Wroc³aw,Zachód,10,'\'(30.666667-60.333333]\'','\'All\'','\"pon.\"',159,'\'(156.666667-190.833333]\''
11,131,P04,2013-09-05,Warszawa,Centrum,9,'\'(119.666667-149.333333]\'','\'All\'','\"czw.\"',28,'\'(-inf-54.166667]\''
10,139,P02,2013-08-28,Wroc³aw,Zachód,8,'\'(119.666667-149.333333]\'','\'All\'','\"?r.\"',59,'\'(54.166667-88.333333]\''
9,150,P04,2013-09-27,Warszawa,Centrum,9,'\'(149.333333-inf)\'','\'All\'','\"pt.\"',158,'\'(156.666667-190.833333]\''
9,15,P04,2013-10-14,Warszawa,Centrum,10,'\'(-inf-30.666667]\'','\'All\'','\"pon.\"',92,'\'(88.333333-122.5]\''
3,91,P02,2013-10-09,Wroc³aw,Zachód,10,'\'(90-119.666667]\'','\'All\'','\"?r.\"',102,'\'(88.333333-122.5]\''
4,63,P02,2013-08-31,Wroc³aw,Zachód,8,'\'(60.333333-90]\'','\'All\'','\"sob.\"',148,'\'(122.5-156.666667]\''
10,100,P05,2013-08-03,£ódŸ,Centrum,8,'\'(90-119.666667]\'','\'All\'','\"sob.\"',199,'\'(190.833333-inf)\''
7,104,P02,2013-08-02,Wroc³aw,Zachód,8,'\'(90-119.666667]\'','\'All\'','\"pt.\"',97,'\'(88.333333-122.5]\''
5,171,P02,2013-08-08,Wroc³aw,Zachód,8,'\'(149.333333-inf)\'','\'All\'','\"czw.\"',104,'\'(88.333333-122.5]\''
7,33,P05,2013-09-06,£ódŸ,Centrum,9,'\'(30.666667-60.333333]\'','\'All\'','\"pt.\"',58,'\'(54.166667-88.333333]\''
6,32,P05,2013-08-12,£ódŸ,Centrum,8,'\'(30.666667-60.333333]\'','\'All\'','\"pon.\"',86,'\'(54.166667-88.333333]\''
4,166,P01,2013-09-28,Warszawa,Centrum,9,'\'(149.333333-inf)\'','\'All\'','\"sob.\"',95,'\'(88.333333-122.5]\''
5,156,P01,2013-09-09,Warszawa,Centrum,9,'\'(149.333333-inf)\'','\'All\'','\"pon.\"',20,'\'(-inf-54.166667]\''
3,119,P01,2013-09-15,Warszawa,Centrum,9,'\'(90-119.666667]\'','\'All\'','\"niedz.\"',56,'\'(54.166667-88.333333]\''
9,158,P01,2013-09-02,Warszawa,Centrum,9,'\'(149.333333-inf)\'','\'All\'','\"pon.\"',159,'\'(156.666667-190.833333]\''
4,11,P03,2013-09-16,Rzeszów,Po³udnie,9,'\'(-inf-30.666667]\'','\'All\'','\"pon.\"',138,'\'(122.5-156.666667]\''
9,79,P03,2013-10-29,Rzeszów,Po³udnie,10,'\'(60.333333-90]\'','\'All\'','\"wt.\"',195,'\'(190.833333-inf)\''
11,138,P05,2013-09-26,£ódŸ,Centrum,9,'\'(119.666667-149.333333]\'','\'All\'','\"czw.\"',36,'\'(-inf-54.166667]\''
9,136,P03,2013-09-17,Rzeszów,Po³udnie,9,'\'(119.666667-149.333333]\'','\'All\'','\"wt.\"',71,'\'(54.166667-88.333333]\''
7,133,P05,2013-08-21,£ódŸ,Centrum,8,'\'(119.666667-149.333333]\'','\'All\'','\"?r.\"',221,'\'(190.833333-inf)\''
9,14,P02,2013-10-16,Wroc³aw,Zachód,10,'\'(-inf-30.666667]\'','\'All\'','\"?r.\"',101,'\'(88.333333-122.5]\''
7,101,P01,2013-08-25,Warszawa,Centrum,8,'\'(90-119.666667]\'','\'All\'','\"niedz.\"',216,'\'(190.833333-inf)\''
5,82,P01,2013-08-04,Warszawa,Centrum,8,'\'(60.333333-90]\'','\'All\'','\"niedz.\"',159,'\'(156.666667-190.833333]\''
4,42,P05,2013-08-16,£ódŸ,Centrum,8,'\'(30.666667-60.333333]\'','\'All\'','\"pt.\"',88,'\'(54.166667-88.333333]\''
5,101,P02,2013-09-12,Wroc³aw,Zachód,9,'\'(90-119.666667]\'','\'All\'','\"czw.\"',197,'\'(190.833333-inf)\''
5,11,P02,2013-09-25,Wroc³aw,Zachód,9,'\'(-inf-30.666667]\'','\'All\'','\"?r.\"',45,'\'(-inf-54.166667]\''
4,80,P03,2013-10-18,Rzeszów,Po³udnie,10,'\'(60.333333-90]\'','\'All\'','\"pt.\"',143,'\'(122.5-156.666667]\''
11,29,P02,2013-09-28,Wroc³aw,Zachód,9,'\'(-inf-30.666667]\'','\'All\'','\"sob.\"',185,'\'(156.666667-190.833333]\''
4,62,P04,2013-10-04,Warszawa,Centrum,10,'\'(60.333333-90]\'','\'All\'','\"pt.\"',167,'\'(156.666667-190.833333]\''
6,133,P02,2013-09-19,Wroc³aw,Zachód,9,'\'(119.666667-149.333333]\'','\'All\'','\"czw.\"',218,'\'(190.833333-inf)\''
9,123,P04,2013-08-02,Warszawa,Centrum,8,'\'(119.666667-149.333333]\'','\'All\'','\"pt.\"',175,'\'(156.666667-190.833333]\''
2,174,P02,2013-10-24,Wroc³aw,Zachód,10,'\'(149.333333-inf)\'','\'All\'','\"czw.\"',29,'\'(-inf-54.166667]\''
3,162,P01,2013-09-27,Warszawa,Centrum,9,'\'(149.333333-inf)\'','\'All\'','\"pt.\"',51,'\'(-inf-54.166667]\''
2,101,P04,2013-08-01,Warszawa,Centrum,8,'\'(90-119.666667]\'','\'All\'','\"czw.\"',217,'\'(190.833333-inf)\''
11,17,P04,2013-09-10,Warszawa,Centrum,9,'\'(-inf-30.666667]\'','\'All\'','\"wt.\"',75,'\'(54.166667-88.333333]\''
8,151,P01,2013-10-10,Warszawa,Centrum,10,'\'(149.333333-inf)\'','\'All\'','\"czw.\"',165,'\'(156.666667-190.833333]\''
11,162,P05,2013-08-17,£ódŸ,Centrum,8,'\'(149.333333-inf)\'','\'All\'','\"sob.\"',174,'\'(156.666667-190.833333]\''
2,45,P03,2013-09-21,Rzeszów,Po³udnie,9,'\'(30.666667-60.333333]\'','\'All\'','\"sob.\"',86,'\'(54.166667-88.333333]\''
10,145,P02,2013-08-26,Wroc³aw,Zachód,8,'\'(119.666667-149.333333]\'','\'All\'','\"pon.\"',45,'\'(-inf-54.166667]\''
10,155,P03,2013-10-28,Rzeszów,Po³udnie,10,'\'(149.333333-inf)\'','\'All\'','\"pon.\"',189,'\'(156.666667-190.833333]\''
4,34,P02,2013-10-10,Wroc³aw,Zachód,10,'\'(30.666667-60.333333]\'','\'All\'','\"czw.\"',70,'\'(54.166667-88.333333]\''
3,97,P02,2013-09-17,Wroc³aw,Zachód,9,'\'(90-119.666667]\'','\'All\'','\"wt.\"',71,'\'(54.166667-88.333333]\''
11,50,P03,2013-08-21,Rzeszów,Po³udnie,8,'\'(30.666667-60.333333]\'','\'All\'','\"?r.\"',92,'\'(88.333333-122.5]\''
3,108,P01,2013-09-28,Warszawa,Centrum,9,'\'(90-119.666667]\'','\'All\'','\"sob.\"',121,'\'(88.333333-122.5]\''
11,166,P05,2013-10-01,£ódŸ,Centrum,10,'\'(149.333333-inf)\'','\'All\'','\"wt.\"',179,'\'(156.666667-190.833333]\''
8,61,P02,2013-09-16,Wroc³aw,Zachód,9,'\'(60.333333-90]\'','\'All\'','\"pon.\"',67,'\'(54.166667-88.333333]\''
7,114,P02,2013-08-18,Wroc³aw,Zachód,8,'\'(90-119.666667]\'','\'All\'','\"niedz.\"',132,'\'(122.5-156.666667]\''
11,49,P03,2013-09-12,Rzeszów,Po³udnie,9,'\'(30.666667-60.333333]\'','\'All\'','\"czw.\"',48,'\'(-inf-54.166667]\''
5,63,P01,2013-09-09,Warszawa,Centrum,9,'\'(60.333333-90]\'','\'All\'','\"pon.\"',29,'\'(-inf-54.166667]\''
6,79,P02,2013-08-31,Wroc³aw,Zachód,8,'\'(60.333333-90]\'','\'All\'','\"sob.\"',198,'\'(190.833333-inf)\''
5,168,P04,2013-08-14,Warszawa,Centrum,8,'\'(149.333333-inf)\'','\'All\'','\"?r.\"',157,'\'(156.666667-190.833333]\''
2,1,P02,2013-09-06,Wroc³aw,Zachód,9,'\'(-inf-30.666667]\'','\'All\'','\"pt.\"',61,'\'(54.166667-88.333333]\''
11,56,P04,2013-08-10,Warszawa,Centrum,8,'\'(30.666667-60.333333]\'','\'All\'','\"sob.\"',188,'\'(156.666667-190.833333]\''
7,108,P01,2013-08-02,Warszawa,Centrum,8,'\'(90-119.666667]\'','\'All\'','\"pt.\"',109,'\'(88.333333-122.5]\''
4,165,P02,2013-09-09,Wroc³aw,Zachód,9,'\'(149.333333-inf)\'','\'All\'','\"pon.\"',35,'\'(-inf-54.166667]\''
10,118,P04,2013-09-03,Warszawa,Centrum,9,'\'(90-119.666667]\'','\'All\'','\"wt.\"',94,'\'(88.333333-122.5]\''
3,126,P05,2013-09-28,£ódŸ,Centrum,9,'\'(119.666667-149.333333]\'','\'All\'','\"sob.\"',172,'\'(156.666667-190.833333]\''
7,43,P01,2013-09-17,Warszawa,Centrum,9,'\'(30.666667-60.333333]\'','\'All\'','\"wt.\"',45,'\'(-inf-54.166667]\''
3,36,P02,2013-10-05,Wroc³aw,Zachód,10,'\'(30.666667-60.333333]\'','\'All\'','\"sob.\"',53,'\'(-inf-54.166667]\''
10,94,P05,2013-09-14,£ódŸ,Centrum,9,'\'(90-119.666667]\'','\'All\'','\"sob.\"',123,'\'(122.5-156.666667]\''
4,12,P02,2013-09-20,Wroc³aw,Zachód,9,'\'(-inf-30.666667]\'','\'All\'','\"pt.\"',104,'\'(88.333333-122.5]\''
4,8,P05,2013-08-21,£ódŸ,Centrum,8,'\'(-inf-30.666667]\'','\'All\'','\"?r.\"',167,'\'(156.666667-190.833333]\''
3,112,P05,2013-09-19,£ódŸ,Centrum,9,'\'(90-119.666667]\'','\'All\'','\"czw.\"',131,'\'(122.5-156.666667]\''
8,163,P04,2013-08-26,Warszawa,Centrum,8,'\'(149.333333-inf)\'','\'All\'','\"pon.\"',152,'\'(122.5-156.666667]\''
8,17,P04,2013-10-07,Warszawa,Centrum,10,'\'(-inf-30.666667]\'','\'All\'','\"pon.\"',139,'\'(122.5-156.666667]\''
8,31,P04,2013-10-08,Warszawa,Centrum,10,'\'(30.666667-60.333333]\'','\'All\'','\"wt.\"',177,'\'(156.666667-190.833333]\''
9,96,P02,2013-09-09,Wroc³aw,Zachód,9,'\'(90-119.666667]\'','\'All\'','\"pon.\"',168,'\'(156.666667-190.833333]\''
11,118,P02,2013-08-08,Wroc³aw,Zachód,8,'\'(90-119.666667]\'','\'All\'','\"czw.\"',148,'\'(122.5-156.666667]\''
9,81,P05,2013-09-04,£ódŸ,Centrum,9,'\'(60.333333-90]\'','\'All\'','\"?r.\"',65,'\'(54.166667-88.333333]\''
4,67,P01,2013-09-22,Warszawa,Centrum,9,'\'(60.333333-90]\'','\'All\'','\"niedz.\"',177,'\'(156.666667-190.833333]\''
4,49,P03,2013-09-21,Rzeszów,Po³udnie,9,'\'(30.666667-60.333333]\'','\'All\'','\"sob.\"',211,'\'(190.833333-inf)\''
7,101,P05,2013-09-05,£ódŸ,Centrum,9,'\'(90-119.666667]\'','\'All\'','\"czw.\"',30,'\'(-inf-54.166667]\''
2,155,P04,2013-08-29,Warszawa,Centrum,8,'\'(149.333333-inf)\'','\'All\'','\"czw.\"',124,'\'(122.5-156.666667]\''
4,6,P03,2013-08-20,Rzeszów,Po³udnie,8,'\'(-inf-30.666667]\'','\'All\'','\"wt.\"',212,'\'(190.833333-inf)\''
10,153,P05,2013-08-14,£ódŸ,Centrum,8,'\'(149.333333-inf)\'','\'All\'','\"?r.\"',98,'\'(88.333333-122.5]\''
6,100,P05,2013-08-16,£ódŸ,Centrum,8,'\'(90-119.666667]\'','\'All\'','\"pt.\"',55,'\'(54.166667-88.333333]\''
6,63,P01,2013-08-13,Warszawa,Centrum,8,'\'(60.333333-90]\'','\'All\'','\"wt.\"',90,'\'(88.333333-122.5]\''
2,126,P02,2013-08-16,Wroc³aw,Zachód,8,'\'(119.666667-149.333333]\'','\'All\'','\"pt.\"',181,'\'(156.666667-190.833333]\''
5,154,P02,2013-09-02,Wroc³aw,Zachód,9,'\'(149.333333-inf)\'','\'All\'','\"pon.\"',34,'\'(-inf-54.166667]\''
3,141,P04,2013-09-13,Warszawa,Centrum,9,'\'(119.666667-149.333333]\'','\'All\'','\"pt.\"',155,'\'(122.5-156.666667]\''
4,68,P03,2013-08-07,Rzeszów,Po³udnie,8,'\'(60.333333-90]\'','\'All\'','\"?r.\"',128,'\'(122.5-156.666667]\''
4,82,P04,2013-08-11,Warszawa,Centrum,8,'\'(60.333333-90]\'','\'All\'','\"niedz.\"',47,'\'(-inf-54.166667]\''
11,73,P03,2013-10-05,Rzeszów,Po³udnie,10,'\'(60.333333-90]\'','\'All\'','\"sob.\"',207,'\'(190.833333-inf)\''
9,20,P02,2013-09-21,Wroc³aw,Zachód,9,'\'(-inf-30.666667]\'','\'All\'','\"sob.\"',177,'\'(156.666667-190.833333]\''
9,21,P02,2013-10-22,Wroc³aw,Zachód,10,'\'(-inf-30.666667]\'','\'All\'','\"wt.\"',108,'\'(88.333333-122.5]\''
4,120,P02,2013-10-03,Wroc³aw,Zachód,10,'\'(119.666667-149.333333]\'','\'All\'','\"czw.\"',77,'\'(54.166667-88.333333]\''
6,135,P01,2013-09-01,Warszawa,Centrum,9,'\'(119.666667-149.333333]\'','\'All\'','\"niedz.\"',77,'\'(54.166667-88.333333]\''
2,120,P03,2013-10-01,Rzeszów,Po³udnie,10,'\'(119.666667-149.333333]\'','\'All\'','\"wt.\"',50,'\'(-inf-54.166667]\''
8,43,P01,2013-09-07,Warszawa,Centrum,9,'\'(30.666667-60.333333]\'','\'All\'','\"sob.\"',131,'\'(122.5-156.666667]\''
11,84,P03,2013-09-24,Rzeszów,Po³udnie,9,'\'(60.333333-90]\'','\'All\'','\"wt.\"',119,'\'(88.333333-122.5]\''
11,85,P02,2013-08-31,Wroc³aw,Zachód,8,'\'(60.333333-90]\'','\'All\'','\"sob.\"',20,'\'(-inf-54.166667]\''
6,171,P04,2013-08-06,Warszawa,Centrum,8,'\'(149.333333-inf)\'','\'All\'','\"wt.\"',200,'\'(190.833333-inf)\''
2,40,P01,2013-08-24,Warszawa,Centrum,8,'\'(30.666667-60.333333]\'','\'All\'','\"sob.\"',207,'\'(190.833333-inf)\''
3,78,P04,2013-08-03,Warszawa,Centrum,8,'\'(60.333333-90]\'','\'All\'','\"sob.\"',121,'\'(88.333333-122.5]\''
4,117,P03,2013-08-24,Rzeszów,Po³udnie,8,'\'(90-119.666667]\'','\'All\'','\"sob.\"',122,'\'(88.333333-122.5]\''
7,127,P05,2013-09-04,£ódŸ,Centrum,9,'\'(119.666667-149.333333]\'','\'All\'','\"?r.\"',215,'\'(190.833333-inf)\''
9,156,P04,2013-09-10,Warszawa,Centrum,9,'\'(149.333333-inf)\'','\'All\'','\"wt.\"',64,'\'(54.166667-88.333333]\''
4,161,P02,2013-09-03,Wroc³aw,Zachód,9,'\'(149.333333-inf)\'','\'All\'','\"wt.\"',117,'\'(88.333333-122.5]\''
2,9,P03,2013-09-16,Rzeszów,Po³udnie,9,'\'(-inf-30.666667]\'','\'All\'','\"pon.\"',82,'\'(54.166667-88.333333]\''
9,94,P03,2013-08-26,Rzeszów,Po³udnie,8,'\'(90-119.666667]\'','\'All\'','\"pon.\"',156,'\'(122.5-156.666667]\''
8,110,P04,2013-09-22,Warszawa,Centrum,9,'\'(90-119.666667]\'','\'All\'','\"niedz.\"',172,'\'(156.666667-190.833333]\''
11,157,P02,2013-10-05,Wroc³aw,Zachód,10,'\'(149.333333-inf)\'','\'All\'','\"sob.\"',161,'\'(156.666667-190.833333]\''
7,53,P04,2013-10-27,Warszawa,Centrum,10,'\'(30.666667-60.333333]\'','\'All\'','\"niedz.\"',122,'\'(88.333333-122.5]\''
6,59,P05,2013-10-19,£ódŸ,Centrum,10,'\'(30.666667-60.333333]\'','\'All\'','\"sob.\"',44,'\'(-inf-54.166667]\''
4,30,P05,2013-08-05,£ódŸ,Centrum,8,'\'(-inf-30.666667]\'','\'All\'','\"pon.\"',127,'\'(122.5-156.666667]\''
6,38,P01,2013-10-08,Warszawa,Centrum,10,'\'(30.666667-60.333333]\'','\'All\'','\"wt.\"',160,'\'(156.666667-190.833333]\''
4,47,P01,2013-10-22,Warszawa,Centrum,10,'\'(30.666667-60.333333]\'','\'All\'','\"wt.\"',145,'\'(122.5-156.666667]\''
6,41,P04,2013-09-11,Warszawa,Centrum,9,'\'(30.666667-60.333333]\'','\'All\'','\"?r.\"',130,'\'(122.5-156.666667]\''
4,52,P05,2013-08-06,£ódŸ,Centrum,8,'\'(30.666667-60.333333]\'','\'All\'','\"wt.\"',177,'\'(156.666667-190.833333]\''
6,22,P03,2013-09-21,Rzeszów,Po³udnie,9,'\'(-inf-30.666667]\'','\'All\'','\"sob.\"',196,'\'(190.833333-inf)\''
8,153,P04,2013-10-11,Warszawa,Centrum,10,'\'(149.333333-inf)\'','\'All\'','\"pt.\"',223,'\'(190.833333-inf)\''
11,155,P04,2013-08-12,Warszawa,Centrum,8,'\'(149.333333-inf)\'','\'All\'','\"pon.\"',166,'\'(156.666667-190.833333]\''
6,35,P05,2013-10-12,£ódŸ,Centrum,10,'\'(30.666667-60.333333]\'','\'All\'','\"sob.\"',161,'\'(156.666667-190.833333]\''
9,95,P03,2013-08-30,Rzeszów,Po³udnie,8,'\'(90-119.666667]\'','\'All\'','\"pt.\"',150,'\'(122.5-156.666667]\''
6,75,P02,2013-08-08,Wroc³aw,Zachód,8,'\'(60.333333-90]\'','\'All\'','\"czw.\"',32,'\'(-inf-54.166667]\''
3,130,P05,2013-09-07,£ódŸ,Centrum,9,'\'(119.666667-149.333333]\'','\'All\'','\"sob.\"',203,'\'(190.833333-inf)\''
10,75,P02,2013-10-03,Wroc³aw,Zachód,10,'\'(60.333333-90]\'','\'All\'','\"czw.\"',122,'\'(88.333333-122.5]\''
8,111,P04,2013-09-23,Warszawa,Centrum,9,'\'(90-119.666667]\'','\'All\'','\"pon.\"',218,'\'(190.833333-inf)\''
2,44,P01,2013-10-11,Warszawa,Centrum,10,'\'(30.666667-60.333333]\'','\'All\'','\"pt.\"',109,'\'(88.333333-122.5]\''
5,128,P03,2013-08-14,Rzeszów,Po³udnie,8,'\'(119.666667-149.333333]\'','\'All\'','\"?r.\"',51,'\'(-inf-54.166667]\''
8,45,P02,2013-10-27,Wroc³aw,Zachód,10,'\'(30.666667-60.333333]\'','\'All\'','\"niedz.\"',130,'\'(122.5-156.666667]\''
7,84,P03,2013-08-04,Rzeszów,Po³udnie,8,'\'(60.333333-90]\'','\'All\'','\"niedz.\"',101,'\'(88.333333-122.5]\''
11,115,P05,2013-09-20,£ódŸ,Centrum,9,'\'(90-119.666667]\'','\'All\'','\"pt.\"',165,'\'(156.666667-190.833333]\''
7,136,P03,2013-09-09,Rzeszów,Po³udnie,9,'\'(119.666667-149.333333]\'','\'All\'','\"pon.\"',46,'\'(-inf-54.166667]\''
4,56,P05,2013-10-14,£ódŸ,Centrum,10,'\'(30.666667-60.333333]\'','\'All\'','\"pon.\"',44,'\'(-inf-54.166667]\''
8,33,P02,2013-09-21,Wroc³aw,Zachód,9,'\'(30.666667-60.333333]\'','\'All\'','\"sob.\"',158,'\'(156.666667-190.833333]\''
5,112,P05,2013-08-06,£ódŸ,Centrum,8,'\'(90-119.666667]\'','\'All\'','\"wt.\"',73,'\'(54.166667-88.333333]\''
3,9,P03,2013-09-23,Rzeszów,Po³udnie,9,'\'(-inf-30.666667]\'','\'All\'','\"pon.\"',202,'\'(190.833333-inf)\''
8,111,P05,2013-10-11,£ódŸ,Centrum,10,'\'(90-119.666667]\'','\'All\'','\"pt.\"',46,'\'(-inf-54.166667]\''
7,114,P03,2013-10-14,Rzeszów,Po³udnie,10,'\'(90-119.666667]\'','\'All\'','\"pon.\"',31,'\'(-inf-54.166667]\''
5,2,P01,2013-09-10,Warszawa,Centrum,9,'\'(-inf-30.666667]\'','\'All\'','\"wt.\"',145,'\'(122.5-156.666667]\''
3,74,P03,2013-10-03,Rzeszów,Po³udnie,10,'\'(60.333333-90]\'','\'All\'','\"czw.\"',162,'\'(156.666667-190.833333]\''
3,16,P02,2013-09-26,Wroc³aw,Zachód,9,'\'(-inf-30.666667]\'','\'All\'','\"czw.\"',31,'\'(-inf-54.166667]\''
2,7,P05,2013-09-19,£ódŸ,Centrum,9,'\'(-inf-30.666667]\'','\'All\'','\"czw.\"',136,'\'(122.5-156.666667]\''
10,86,P01,2013-08-25,Warszawa,Centrum,8,'\'(60.333333-90]\'','\'All\'','\"niedz.\"',122,'\'(88.333333-122.5]\''
2,165,P02,2013-08-21,Wroc³aw,Zachód,8,'\'(149.333333-inf)\'','\'All\'','\"?r.\"',117,'\'(88.333333-122.5]\''
4,144,P04,2013-10-17,Warszawa,Centrum,10,'\'(119.666667-149.333333]\'','\'All\'','\"czw.\"',59,'\'(54.166667-88.333333]\''
8,39,P02,2013-10-15,Wroc³aw,Zachód,10,'\'(30.666667-60.333333]\'','\'All\'','\"wt.\"',172,'\'(156.666667-190.833333]\''
2,120,P04,2013-10-26,Warszawa,Centrum,10,'\'(119.666667-149.333333]\'','\'All\'','\"sob.\"',180,'\'(156.666667-190.833333]\''
4,143,P04,2013-09-16,Warszawa,Centrum,9,'\'(119.666667-149.333333]\'','\'All\'','\"pon.\"',161,'\'(156.666667-190.833333]\''
13,131,P05,2013-09-15,£ódŸ,Centrum,9,'\'(119.666667-149.333333]\'','\'All\'','\"niedz.\"',116,'\'(88.333333-122.5]\''
10,26,P01,2013-10-13,Warszawa,Centrum,10,'\'(-inf-30.666667]\'','\'All\'','\"niedz.\"',157,'\'(156.666667-190.833333]\''
11,163,P02,2013-09-11,Wroc³aw,Zachód,9,'\'(149.333333-inf)\'','\'All\'','\"?r.\"',109,'\'(88.333333-122.5]\''
12,165,P04,2013-08-28,Warszawa,Centrum,8,'\'(149.333333-inf)\'','\'All\'','\"?r.\"',96,'\'(88.333333-122.5]\''
3,142,P01,2013-09-05,Warszawa,Centrum,9,'\'(119.666667-149.333333]\'','\'All\'','\"czw.\"',203,'\'(190.833333-inf)\''
14,1,P01,2013-10-06,Warszawa,Centrum,10,'\'(-inf-30.666667]\'','\'All\'','\"niedz.\"',43,'\'(-inf-54.166667]\''
6,144,P02,2013-08-14,Wroc³aw,Zachód,8,'\'(119.666667-149.333333]\'','\'All\'','\"?r.\"',60,'\'(54.166667-88.333333]\''
5,67,P03,2013-08-15,Rzeszów,Po³udnie,8,'\'(60.333333-90]\'','\'All\'','\"czw.\"',222,'\'(190.833333-inf)\''
