@relation '01_klienci4-weka.filters.unsupervised.attribute.Reorder-R1-2,4-8,3-weka.filters.unsupervised.attribute.Copy-R8-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceprzedzial-R9-weka.filters.unsupervised.attribute.Discretize-B6-M-1.0-R9-precision6-weka.filters.unsupervised.attribute.InterquartileRange-R2-O3.0-E6.0-weka.filters.unsupervised.attribute.Remove-R10-11-weka.filters.unsupervised.attribute.Copy-R2-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceprzedzial_czas rozmowy-R10-weka.filters.unsupervised.attribute.Copy-R10-weka.filters.unsupervised.attribute.Discretize-B6-M-1.0-R10-precision6-weka.filters.supervised.attribute.Discretize-R11-precision6-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceprzedzial_czas rozmowy_supervised-R11-weka.filters.unsupervised.attribute.Reorder-R1-7,10-11,8,9'

@attribute 'numer klienta' {6,12,9,3,7,11,2,5,10,1,8,4,15,13,14}
@attribute 'czas rozmowy' numeric
@attribute przedstawiciel {P03,P02,P05,P01,P04}
@attribute 'data rozmowy' date yyyy-MM-dd
@attribute Oddzia³ {Rzeszów,Wroc³aw,£ódŸ,Warszawa}
@attribute Region {Po³udnie,Zachód,Centrum}
@attribute miesi¹c {9,10,8}
@attribute 'przedzial_czas rozmowy' {'\'(-inf-30.666667]\'','\'(30.666667-60.333333]\'','\'(60.333333-90]\'','\'(90-119.666667]\'','\'(119.666667-149.333333]\'','\'(149.333333-inf)\''}
@attribute 'przedzial_czas rozmowy_supervised' {'\'All\''}
@attribute 'kwota zakupu' numeric
@attribute przedzial {'\'(-inf-54.166667]\'','\'(54.166667-88.333333]\'','\'(88.333333-122.5]\'','\'(122.5-156.666667]\'','\'(156.666667-190.833333]\'','\'(190.833333-inf)\''}

@data
7,104,P02,2013-08-02,Wroc³aw,Zachód,8,'\'(90-119.666667]\'','\'All\'',97,'\'(88.333333-122.5]\''
5,171,P02,2013-08-08,Wroc³aw,Zachód,8,'\'(149.333333-inf)\'','\'All\'',104,'\'(88.333333-122.5]\''
7,33,P05,2013-09-06,£ódŸ,Centrum,9,'\'(30.666667-60.333333]\'','\'All\'',58,'\'(54.166667-88.333333]\''
6,32,P05,2013-08-12,£ódŸ,Centrum,8,'\'(30.666667-60.333333]\'','\'All\'',86,'\'(54.166667-88.333333]\''
4,166,P01,2013-09-28,Warszawa,Centrum,9,'\'(149.333333-inf)\'','\'All\'',95,'\'(88.333333-122.5]\''
5,156,P01,2013-09-09,Warszawa,Centrum,9,'\'(149.333333-inf)\'','\'All\'',20,'\'(-inf-54.166667]\''
3,119,P01,2013-09-15,Warszawa,Centrum,9,'\'(90-119.666667]\'','\'All\'',56,'\'(54.166667-88.333333]\''
9,158,P01,2013-09-02,Warszawa,Centrum,9,'\'(149.333333-inf)\'','\'All\'',159,'\'(156.666667-190.833333]\''
4,11,P03,2013-09-16,Rzeszów,Po³udnie,9,'\'(-inf-30.666667]\'','\'All\'',138,'\'(122.5-156.666667]\''
9,79,P03,2013-10-29,Rzeszów,Po³udnie,10,'\'(60.333333-90]\'','\'All\'',195,'\'(190.833333-inf)\''
11,138,P05,2013-09-26,£ódŸ,Centrum,9,'\'(119.666667-149.333333]\'','\'All\'',36,'\'(-inf-54.166667]\''
9,136,P03,2013-09-17,Rzeszów,Po³udnie,9,'\'(119.666667-149.333333]\'','\'All\'',71,'\'(54.166667-88.333333]\''
7,133,P05,2013-08-21,£ódŸ,Centrum,8,'\'(119.666667-149.333333]\'','\'All\'',221,'\'(190.833333-inf)\''
9,14,P02,2013-10-16,Wroc³aw,Zachód,10,'\'(-inf-30.666667]\'','\'All\'',101,'\'(88.333333-122.5]\''
7,101,P01,2013-08-25,Warszawa,Centrum,8,'\'(90-119.666667]\'','\'All\'',216,'\'(190.833333-inf)\''
5,82,P01,2013-08-04,Warszawa,Centrum,8,'\'(60.333333-90]\'','\'All\'',159,'\'(156.666667-190.833333]\''
4,42,P05,2013-08-16,£ódŸ,Centrum,8,'\'(30.666667-60.333333]\'','\'All\'',88,'\'(54.166667-88.333333]\''
5,101,P02,2013-09-12,Wroc³aw,Zachód,9,'\'(90-119.666667]\'','\'All\'',197,'\'(190.833333-inf)\''
5,11,P02,2013-09-25,Wroc³aw,Zachód,9,'\'(-inf-30.666667]\'','\'All\'',45,'\'(-inf-54.166667]\''
4,80,P03,2013-10-18,Rzeszów,Po³udnie,10,'\'(60.333333-90]\'','\'All\'',143,'\'(122.5-156.666667]\''
11,29,P02,2013-09-28,Wroc³aw,Zachód,9,'\'(-inf-30.666667]\'','\'All\'',185,'\'(156.666667-190.833333]\''
4,62,P04,2013-10-04,Warszawa,Centrum,10,'\'(60.333333-90]\'','\'All\'',167,'\'(156.666667-190.833333]\''
6,133,P02,2013-09-19,Wroc³aw,Zachód,9,'\'(119.666667-149.333333]\'','\'All\'',218,'\'(190.833333-inf)\''
9,123,P04,2013-08-02,Warszawa,Centrum,8,'\'(119.666667-149.333333]\'','\'All\'',175,'\'(156.666667-190.833333]\''
2,174,P02,2013-10-24,Wroc³aw,Zachód,10,'\'(149.333333-inf)\'','\'All\'',29,'\'(-inf-54.166667]\''
3,162,P01,2013-09-27,Warszawa,Centrum,9,'\'(149.333333-inf)\'','\'All\'',51,'\'(-inf-54.166667]\''
2,101,P04,2013-08-01,Warszawa,Centrum,8,'\'(90-119.666667]\'','\'All\'',217,'\'(190.833333-inf)\''
11,17,P04,2013-09-10,Warszawa,Centrum,9,'\'(-inf-30.666667]\'','\'All\'',75,'\'(54.166667-88.333333]\''
8,151,P01,2013-10-10,Warszawa,Centrum,10,'\'(149.333333-inf)\'','\'All\'',165,'\'(156.666667-190.833333]\''
11,162,P05,2013-08-17,£ódŸ,Centrum,8,'\'(149.333333-inf)\'','\'All\'',174,'\'(156.666667-190.833333]\''
2,45,P03,2013-09-21,Rzeszów,Po³udnie,9,'\'(30.666667-60.333333]\'','\'All\'',86,'\'(54.166667-88.333333]\''
10,145,P02,2013-08-26,Wroc³aw,Zachód,8,'\'(119.666667-149.333333]\'','\'All\'',45,'\'(-inf-54.166667]\''
10,155,P03,2013-10-28,Rzeszów,Po³udnie,10,'\'(149.333333-inf)\'','\'All\'',189,'\'(156.666667-190.833333]\''
4,34,P02,2013-10-10,Wroc³aw,Zachód,10,'\'(30.666667-60.333333]\'','\'All\'',70,'\'(54.166667-88.333333]\''
3,97,P02,2013-09-17,Wroc³aw,Zachód,9,'\'(90-119.666667]\'','\'All\'',71,'\'(54.166667-88.333333]\''
11,50,P03,2013-08-21,Rzeszów,Po³udnie,8,'\'(30.666667-60.333333]\'','\'All\'',92,'\'(88.333333-122.5]\''
3,108,P01,2013-09-28,Warszawa,Centrum,9,'\'(90-119.666667]\'','\'All\'',121,'\'(88.333333-122.5]\''
11,166,P05,2013-10-01,£ódŸ,Centrum,10,'\'(149.333333-inf)\'','\'All\'',179,'\'(156.666667-190.833333]\''
8,61,P02,2013-09-16,Wroc³aw,Zachód,9,'\'(60.333333-90]\'','\'All\'',67,'\'(54.166667-88.333333]\''
7,114,P02,2013-08-18,Wroc³aw,Zachód,8,'\'(90-119.666667]\'','\'All\'',132,'\'(122.5-156.666667]\''
11,49,P03,2013-09-12,Rzeszów,Po³udnie,9,'\'(30.666667-60.333333]\'','\'All\'',48,'\'(-inf-54.166667]\''
5,63,P01,2013-09-09,Warszawa,Centrum,9,'\'(60.333333-90]\'','\'All\'',29,'\'(-inf-54.166667]\''
6,79,P02,2013-08-31,Wroc³aw,Zachód,8,'\'(60.333333-90]\'','\'All\'',198,'\'(190.833333-inf)\''
5,168,P04,2013-08-14,Warszawa,Centrum,8,'\'(149.333333-inf)\'','\'All\'',157,'\'(156.666667-190.833333]\''
2,1,P02,2013-09-06,Wroc³aw,Zachód,9,'\'(-inf-30.666667]\'','\'All\'',61,'\'(54.166667-88.333333]\''
11,56,P04,2013-08-10,Warszawa,Centrum,8,'\'(30.666667-60.333333]\'','\'All\'',188,'\'(156.666667-190.833333]\''
7,108,P01,2013-08-02,Warszawa,Centrum,8,'\'(90-119.666667]\'','\'All\'',109,'\'(88.333333-122.5]\''
4,165,P02,2013-09-09,Wroc³aw,Zachód,9,'\'(149.333333-inf)\'','\'All\'',35,'\'(-inf-54.166667]\''
10,118,P04,2013-09-03,Warszawa,Centrum,9,'\'(90-119.666667]\'','\'All\'',94,'\'(88.333333-122.5]\''
3,126,P05,2013-09-28,£ódŸ,Centrum,9,'\'(119.666667-149.333333]\'','\'All\'',172,'\'(156.666667-190.833333]\''
7,43,P01,2013-09-17,Warszawa,Centrum,9,'\'(30.666667-60.333333]\'','\'All\'',45,'\'(-inf-54.166667]\''
3,36,P02,2013-10-05,Wroc³aw,Zachód,10,'\'(30.666667-60.333333]\'','\'All\'',53,'\'(-inf-54.166667]\''
10,94,P05,2013-09-14,£ódŸ,Centrum,9,'\'(90-119.666667]\'','\'All\'',123,'\'(122.5-156.666667]\''
4,12,P02,2013-09-20,Wroc³aw,Zachód,9,'\'(-inf-30.666667]\'','\'All\'',104,'\'(88.333333-122.5]\''
4,8,P05,2013-08-21,£ódŸ,Centrum,8,'\'(-inf-30.666667]\'','\'All\'',167,'\'(156.666667-190.833333]\''
3,112,P05,2013-09-19,£ódŸ,Centrum,9,'\'(90-119.666667]\'','\'All\'',131,'\'(122.5-156.666667]\''
8,163,P04,2013-08-26,Warszawa,Centrum,8,'\'(149.333333-inf)\'','\'All\'',152,'\'(122.5-156.666667]\''
8,17,P04,2013-10-07,Warszawa,Centrum,10,'\'(-inf-30.666667]\'','\'All\'',139,'\'(122.5-156.666667]\''
8,31,P04,2013-10-08,Warszawa,Centrum,10,'\'(30.666667-60.333333]\'','\'All\'',177,'\'(156.666667-190.833333]\''
9,96,P02,2013-09-09,Wroc³aw,Zachód,9,'\'(90-119.666667]\'','\'All\'',168,'\'(156.666667-190.833333]\''
11,118,P02,2013-08-08,Wroc³aw,Zachód,8,'\'(90-119.666667]\'','\'All\'',148,'\'(122.5-156.666667]\''
9,81,P05,2013-09-04,£ódŸ,Centrum,9,'\'(60.333333-90]\'','\'All\'',65,'\'(54.166667-88.333333]\''
4,67,P01,2013-09-22,Warszawa,Centrum,9,'\'(60.333333-90]\'','\'All\'',177,'\'(156.666667-190.833333]\''
4,49,P03,2013-09-21,Rzeszów,Po³udnie,9,'\'(30.666667-60.333333]\'','\'All\'',211,'\'(190.833333-inf)\''
7,101,P05,2013-09-05,£ódŸ,Centrum,9,'\'(90-119.666667]\'','\'All\'',30,'\'(-inf-54.166667]\''
2,155,P04,2013-08-29,Warszawa,Centrum,8,'\'(149.333333-inf)\'','\'All\'',124,'\'(122.5-156.666667]\''
4,6,P03,2013-08-20,Rzeszów,Po³udnie,8,'\'(-inf-30.666667]\'','\'All\'',212,'\'(190.833333-inf)\''
10,153,P05,2013-08-14,£ódŸ,Centrum,8,'\'(149.333333-inf)\'','\'All\'',98,'\'(88.333333-122.5]\''
6,100,P05,2013-08-16,£ódŸ,Centrum,8,'\'(90-119.666667]\'','\'All\'',55,'\'(54.166667-88.333333]\''
6,63,P01,2013-08-13,Warszawa,Centrum,8,'\'(60.333333-90]\'','\'All\'',90,'\'(88.333333-122.5]\''
2,126,P02,2013-08-16,Wroc³aw,Zachód,8,'\'(119.666667-149.333333]\'','\'All\'',181,'\'(156.666667-190.833333]\''
5,154,P02,2013-09-02,Wroc³aw,Zachód,9,'\'(149.333333-inf)\'','\'All\'',34,'\'(-inf-54.166667]\''
3,141,P04,2013-09-13,Warszawa,Centrum,9,'\'(119.666667-149.333333]\'','\'All\'',155,'\'(122.5-156.666667]\''
4,68,P03,2013-08-07,Rzeszów,Po³udnie,8,'\'(60.333333-90]\'','\'All\'',128,'\'(122.5-156.666667]\''
4,82,P04,2013-08-11,Warszawa,Centrum,8,'\'(60.333333-90]\'','\'All\'',47,'\'(-inf-54.166667]\''
11,73,P03,2013-10-05,Rzeszów,Po³udnie,10,'\'(60.333333-90]\'','\'All\'',207,'\'(190.833333-inf)\''
9,20,P02,2013-09-21,Wroc³aw,Zachód,9,'\'(-inf-30.666667]\'','\'All\'',177,'\'(156.666667-190.833333]\''
9,21,P02,2013-10-22,Wroc³aw,Zachód,10,'\'(-inf-30.666667]\'','\'All\'',108,'\'(88.333333-122.5]\''
4,120,P02,2013-10-03,Wroc³aw,Zachód,10,'\'(119.666667-149.333333]\'','\'All\'',77,'\'(54.166667-88.333333]\''
6,135,P01,2013-09-01,Warszawa,Centrum,9,'\'(119.666667-149.333333]\'','\'All\'',77,'\'(54.166667-88.333333]\''
2,120,P03,2013-10-01,Rzeszów,Po³udnie,10,'\'(119.666667-149.333333]\'','\'All\'',50,'\'(-inf-54.166667]\''
8,43,P01,2013-09-07,Warszawa,Centrum,9,'\'(30.666667-60.333333]\'','\'All\'',131,'\'(122.5-156.666667]\''
11,84,P03,2013-09-24,Rzeszów,Po³udnie,9,'\'(60.333333-90]\'','\'All\'',119,'\'(88.333333-122.5]\''
11,85,P02,2013-08-31,Wroc³aw,Zachód,8,'\'(60.333333-90]\'','\'All\'',20,'\'(-inf-54.166667]\''
6,171,P04,2013-08-06,Warszawa,Centrum,8,'\'(149.333333-inf)\'','\'All\'',200,'\'(190.833333-inf)\''
2,40,P01,2013-08-24,Warszawa,Centrum,8,'\'(30.666667-60.333333]\'','\'All\'',207,'\'(190.833333-inf)\''
3,78,P04,2013-08-03,Warszawa,Centrum,8,'\'(60.333333-90]\'','\'All\'',121,'\'(88.333333-122.5]\''
4,117,P03,2013-08-24,Rzeszów,Po³udnie,8,'\'(90-119.666667]\'','\'All\'',122,'\'(88.333333-122.5]\''
7,127,P05,2013-09-04,£ódŸ,Centrum,9,'\'(119.666667-149.333333]\'','\'All\'',215,'\'(190.833333-inf)\''
9,156,P04,2013-09-10,Warszawa,Centrum,9,'\'(149.333333-inf)\'','\'All\'',64,'\'(54.166667-88.333333]\''
4,161,P02,2013-09-03,Wroc³aw,Zachód,9,'\'(149.333333-inf)\'','\'All\'',117,'\'(88.333333-122.5]\''
2,9,P03,2013-09-16,Rzeszów,Po³udnie,9,'\'(-inf-30.666667]\'','\'All\'',82,'\'(54.166667-88.333333]\''
9,94,P03,2013-08-26,Rzeszów,Po³udnie,8,'\'(90-119.666667]\'','\'All\'',156,'\'(122.5-156.666667]\''
8,110,P04,2013-09-22,Warszawa,Centrum,9,'\'(90-119.666667]\'','\'All\'',172,'\'(156.666667-190.833333]\''
11,157,P02,2013-10-05,Wroc³aw,Zachód,10,'\'(149.333333-inf)\'','\'All\'',161,'\'(156.666667-190.833333]\''
7,53,P04,2013-10-27,Warszawa,Centrum,10,'\'(30.666667-60.333333]\'','\'All\'',122,'\'(88.333333-122.5]\''
6,59,P05,2013-10-19,£ódŸ,Centrum,10,'\'(30.666667-60.333333]\'','\'All\'',44,'\'(-inf-54.166667]\''
4,30,P05,2013-08-05,£ódŸ,Centrum,8,'\'(-inf-30.666667]\'','\'All\'',127,'\'(122.5-156.666667]\''
6,38,P01,2013-10-08,Warszawa,Centrum,10,'\'(30.666667-60.333333]\'','\'All\'',160,'\'(156.666667-190.833333]\''
4,47,P01,2013-10-22,Warszawa,Centrum,10,'\'(30.666667-60.333333]\'','\'All\'',145,'\'(122.5-156.666667]\''
6,41,P04,2013-09-11,Warszawa,Centrum,9,'\'(30.666667-60.333333]\'','\'All\'',130,'\'(122.5-156.666667]\''
4,52,P05,2013-08-06,£ódŸ,Centrum,8,'\'(30.666667-60.333333]\'','\'All\'',177,'\'(156.666667-190.833333]\''
6,22,P03,2013-09-21,Rzeszów,Po³udnie,9,'\'(-inf-30.666667]\'','\'All\'',196,'\'(190.833333-inf)\''
8,153,P04,2013-10-11,Warszawa,Centrum,10,'\'(149.333333-inf)\'','\'All\'',223,'\'(190.833333-inf)\''
11,155,P04,2013-08-12,Warszawa,Centrum,8,'\'(149.333333-inf)\'','\'All\'',166,'\'(156.666667-190.833333]\''
6,35,P05,2013-10-12,£ódŸ,Centrum,10,'\'(30.666667-60.333333]\'','\'All\'',161,'\'(156.666667-190.833333]\''
9,95,P03,2013-08-30,Rzeszów,Po³udnie,8,'\'(90-119.666667]\'','\'All\'',150,'\'(122.5-156.666667]\''
6,75,P02,2013-08-08,Wroc³aw,Zachód,8,'\'(60.333333-90]\'','\'All\'',32,'\'(-inf-54.166667]\''
3,130,P05,2013-09-07,£ódŸ,Centrum,9,'\'(119.666667-149.333333]\'','\'All\'',203,'\'(190.833333-inf)\''
10,75,P02,2013-10-03,Wroc³aw,Zachód,10,'\'(60.333333-90]\'','\'All\'',122,'\'(88.333333-122.5]\''
8,111,P04,2013-09-23,Warszawa,Centrum,9,'\'(90-119.666667]\'','\'All\'',218,'\'(190.833333-inf)\''
2,44,P01,2013-10-11,Warszawa,Centrum,10,'\'(30.666667-60.333333]\'','\'All\'',109,'\'(88.333333-122.5]\''
5,128,P03,2013-08-14,Rzeszów,Po³udnie,8,'\'(119.666667-149.333333]\'','\'All\'',51,'\'(-inf-54.166667]\''
8,45,P02,2013-10-27,Wroc³aw,Zachód,10,'\'(30.666667-60.333333]\'','\'All\'',130,'\'(122.5-156.666667]\''
7,84,P03,2013-08-04,Rzeszów,Po³udnie,8,'\'(60.333333-90]\'','\'All\'',101,'\'(88.333333-122.5]\''
11,115,P05,2013-09-20,£ódŸ,Centrum,9,'\'(90-119.666667]\'','\'All\'',165,'\'(156.666667-190.833333]\''
7,136,P03,2013-09-09,Rzeszów,Po³udnie,9,'\'(119.666667-149.333333]\'','\'All\'',46,'\'(-inf-54.166667]\''
4,56,P05,2013-10-14,£ódŸ,Centrum,10,'\'(30.666667-60.333333]\'','\'All\'',44,'\'(-inf-54.166667]\''
8,33,P02,2013-09-21,Wroc³aw,Zachód,9,'\'(30.666667-60.333333]\'','\'All\'',158,'\'(156.666667-190.833333]\''
5,112,P05,2013-08-06,£ódŸ,Centrum,8,'\'(90-119.666667]\'','\'All\'',73,'\'(54.166667-88.333333]\''
3,9,P03,2013-09-23,Rzeszów,Po³udnie,9,'\'(-inf-30.666667]\'','\'All\'',202,'\'(190.833333-inf)\''
8,111,P05,2013-10-11,£ódŸ,Centrum,10,'\'(90-119.666667]\'','\'All\'',46,'\'(-inf-54.166667]\''
7,114,P03,2013-10-14,Rzeszów,Po³udnie,10,'\'(90-119.666667]\'','\'All\'',31,'\'(-inf-54.166667]\''
5,2,P01,2013-09-10,Warszawa,Centrum,9,'\'(-inf-30.666667]\'','\'All\'',145,'\'(122.5-156.666667]\''
3,74,P03,2013-10-03,Rzeszów,Po³udnie,10,'\'(60.333333-90]\'','\'All\'',162,'\'(156.666667-190.833333]\''
3,16,P02,2013-09-26,Wroc³aw,Zachód,9,'\'(-inf-30.666667]\'','\'All\'',31,'\'(-inf-54.166667]\''
2,7,P05,2013-09-19,£ódŸ,Centrum,9,'\'(-inf-30.666667]\'','\'All\'',136,'\'(122.5-156.666667]\''
10,86,P01,2013-08-25,Warszawa,Centrum,8,'\'(60.333333-90]\'','\'All\'',122,'\'(88.333333-122.5]\''
2,165,P02,2013-08-21,Wroc³aw,Zachód,8,'\'(149.333333-inf)\'','\'All\'',117,'\'(88.333333-122.5]\''
4,144,P04,2013-10-17,Warszawa,Centrum,10,'\'(119.666667-149.333333]\'','\'All\'',59,'\'(54.166667-88.333333]\''
8,39,P02,2013-10-15,Wroc³aw,Zachód,10,'\'(30.666667-60.333333]\'','\'All\'',172,'\'(156.666667-190.833333]\''
2,120,P04,2013-10-26,Warszawa,Centrum,10,'\'(119.666667-149.333333]\'','\'All\'',180,'\'(156.666667-190.833333]\''
4,143,P04,2013-09-16,Warszawa,Centrum,9,'\'(119.666667-149.333333]\'','\'All\'',161,'\'(156.666667-190.833333]\''
13,131,P05,2013-09-15,£ódŸ,Centrum,9,'\'(119.666667-149.333333]\'','\'All\'',116,'\'(88.333333-122.5]\''
10,26,P01,2013-10-13,Warszawa,Centrum,10,'\'(-inf-30.666667]\'','\'All\'',157,'\'(156.666667-190.833333]\''
11,163,P02,2013-09-11,Wroc³aw,Zachód,9,'\'(149.333333-inf)\'','\'All\'',109,'\'(88.333333-122.5]\''
12,165,P04,2013-08-28,Warszawa,Centrum,8,'\'(149.333333-inf)\'','\'All\'',96,'\'(88.333333-122.5]\''
3,142,P01,2013-09-05,Warszawa,Centrum,9,'\'(119.666667-149.333333]\'','\'All\'',203,'\'(190.833333-inf)\''
14,1,P01,2013-10-06,Warszawa,Centrum,10,'\'(-inf-30.666667]\'','\'All\'',43,'\'(-inf-54.166667]\''
6,144,P02,2013-08-14,Wroc³aw,Zachód,8,'\'(119.666667-149.333333]\'','\'All\'',60,'\'(54.166667-88.333333]\''
5,67,P03,2013-08-15,Rzeszów,Po³udnie,8,'\'(60.333333-90]\'','\'All\'',222,'\'(190.833333-inf)\''
3,118,P01,2013-09-26,Warszawa,Centrum,9,'\'(90-119.666667]\'','\'All\'',94,'\'(88.333333-122.5]\''
15,153,P02,2013-09-25,Wroc³aw,Zachód,9,'\'(149.333333-inf)\'','\'All\'',117,'\'(88.333333-122.5]\''
4,61,P05,2013-08-09,£ódŸ,Centrum,8,'\'(60.333333-90]\'','\'All\'',29,'\'(-inf-54.166667]\''
13,11,P05,2013-08-09,£ódŸ,Centrum,8,'\'(-inf-30.666667]\'','\'All\'',213,'\'(190.833333-inf)\''
4,15,P01,2013-09-14,Warszawa,Centrum,9,'\'(-inf-30.666667]\'','\'All\'',58,'\'(54.166667-88.333333]\''
11,112,P02,2013-08-29,Wroc³aw,Zachód,8,'\'(90-119.666667]\'','\'All\'',56,'\'(54.166667-88.333333]\''
11,12,P05,2013-09-28,£ódŸ,Centrum,9,'\'(-inf-30.666667]\'','\'All\'',57,'\'(54.166667-88.333333]\''
7,139,P02,2013-09-14,Wroc³aw,Zachód,9,'\'(119.666667-149.333333]\'','\'All\'',156,'\'(122.5-156.666667]\''
5,50,P02,2013-10-21,Wroc³aw,Zachód,10,'\'(30.666667-60.333333]\'','\'All\'',206,'\'(190.833333-inf)\''
14,145,P04,2013-09-19,Warszawa,Centrum,9,'\'(119.666667-149.333333]\'','\'All\'',127,'\'(122.5-156.666667]\''
12,138,P03,2013-08-05,Rzeszów,Po³udnie,8,'\'(119.666667-149.333333]\'','\'All\'',178,'\'(156.666667-190.833333]\''
1,119,P04,2013-08-10,Warszawa,Centrum,8,'\'(90-119.666667]\'','\'All\'',53,'\'(-inf-54.166667]\''
9,35,P01,2013-08-11,Warszawa,Centrum,8,'\'(30.666667-60.333333]\'','\'All\'',149,'\'(122.5-156.666667]\''
7,102,P05,2013-10-14,£ódŸ,Centrum,10,'\'(90-119.666667]\'','\'All\'',97,'\'(88.333333-122.5]\''
9,82,P02,2013-09-23,Wroc³aw,Zachód,9,'\'(60.333333-90]\'','\'All\'',64,'\'(54.166667-88.333333]\''
7,123,P03,2013-10-29,Rzeszów,Po³udnie,10,'\'(119.666667-149.333333]\'','\'All\'',169,'\'(156.666667-190.833333]\''
11,6,P01,2013-08-25,Warszawa,Centrum,8,'\'(-inf-30.666667]\'','\'All\'',110,'\'(88.333333-122.5]\''
4,121,P04,2013-09-14,Warszawa,Centrum,9,'\'(119.666667-149.333333]\'','\'All\'',126,'\'(122.5-156.666667]\''
1,27,P02,2013-09-25,Wroc³aw,Zachód,9,'\'(-inf-30.666667]\'','\'All\'',35,'\'(-inf-54.166667]\''
5,79,P02,2013-09-08,Wroc³aw,Zachód,9,'\'(60.333333-90]\'','\'All\'',83,'\'(54.166667-88.333333]\''
8,98,P02,2013-10-04,Wroc³aw,Zachód,10,'\'(90-119.666667]\'','\'All\'',54,'\'(-inf-54.166667]\''
3,158,P01,2013-09-10,Warszawa,Centrum,9,'\'(149.333333-inf)\'','\'All\'',185,'\'(156.666667-190.833333]\''
14,55,P02,2013-09-10,Wroc³aw,Zachód,9,'\'(30.666667-60.333333]\'','\'All\'',73,'\'(54.166667-88.333333]\''
7,122,P01,2013-08-04,Warszawa,Centrum,8,'\'(119.666667-149.333333]\'','\'All\'',184,'\'(156.666667-190.833333]\''
1,80,P01,2013-08-16,Warszawa,Centrum,8,'\'(60.333333-90]\'','\'All\'',66,'\'(54.166667-88.333333]\''
10,134,P02,2013-09-24,Wroc³aw,Zachód,9,'\'(119.666667-149.333333]\'','\'All\'',65,'\'(54.166667-88.333333]\''
5,13,P04,2013-08-17,Warszawa,Centrum,8,'\'(-inf-30.666667]\'','\'All\'',47,'\'(-inf-54.166667]\''
14,159,P01,2013-10-04,Warszawa,Centrum,10,'\'(149.333333-inf)\'','\'All\'',44,'\'(-inf-54.166667]\''
11,172,P03,2013-09-14,Rzeszów,Po³udnie,9,'\'(149.333333-inf)\'','\'All\'',165,'\'(156.666667-190.833333]\''
8,92,P04,2013-09-23,Warszawa,Centrum,9,'\'(90-119.666667]\'','\'All\'',171,'\'(156.666667-190.833333]\''
3,51,P02,2013-10-25,Wroc³aw,Zachód,10,'\'(30.666667-60.333333]\'','\'All\'',71,'\'(54.166667-88.333333]\''
2,109,P04,2013-09-02,Warszawa,Centrum,9,'\'(90-119.666667]\'','\'All\'',170,'\'(156.666667-190.833333]\''
15,45,P03,2013-08-09,Rzeszów,Po³udnie,8,'\'(30.666667-60.333333]\'','\'All\'',165,'\'(156.666667-190.833333]\''
2,57,P04,2013-08-28,Warszawa,Centrum,8,'\'(30.666667-60.333333]\'','\'All\'',195,'\'(190.833333-inf)\''
6,179,P02,2013-09-03,Wroc³aw,Zachód,9,'\'(149.333333-inf)\'','\'All\'',78,'\'(54.166667-88.333333]\''
5,153,P02,2013-08-29,Wroc³aw,Zachód,8,'\'(149.333333-inf)\'','\'All\'',158,'\'(156.666667-190.833333]\''
11,128,P02,2013-09-09,Wroc³aw,Zachód,9,'\'(119.666667-149.333333]\'','\'All\'',65,'\'(54.166667-88.333333]\''
15,71,P05,2013-09-12,£ódŸ,Centrum,9,'\'(60.333333-90]\'','\'All\'',194,'\'(190.833333-inf)\''
13,16,P03,2013-08-09,Rzeszów,Po³udnie,8,'\'(-inf-30.666667]\'','\'All\'',200,'\'(190.833333-inf)\''
1,121,P01,2013-08-08,Warszawa,Centrum,8,'\'(119.666667-149.333333]\'','\'All\'',191,'\'(190.833333-inf)\''
8,143,P05,2013-08-08,£ódŸ,Centrum,8,'\'(119.666667-149.333333]\'','\'All\'',156,'\'(122.5-156.666667]\''
14,116,P01,2013-09-01,Warszawa,Centrum,9,'\'(90-119.666667]\'','\'All\'',143,'\'(122.5-156.666667]\''
1,136,P05,2013-09-17,£ódŸ,Centrum,9,'\'(119.666667-149.333333]\'','\'All\'',32,'\'(-inf-54.166667]\''
10,141,P05,2013-10-18,£ódŸ,Centrum,10,'\'(119.666667-149.333333]\'','\'All\'',157,'\'(156.666667-190.833333]\''
7,76,P01,2013-09-18,Warszawa,Centrum,9,'\'(60.333333-90]\'','\'All\'',111,'\'(88.333333-122.5]\''
7,167,P05,2013-09-13,£ódŸ,Centrum,9,'\'(149.333333-inf)\'','\'All\'',67,'\'(54.166667-88.333333]\''
15,52,P01,2013-10-05,Warszawa,Centrum,10,'\'(30.666667-60.333333]\'','\'All\'',205,'\'(190.833333-inf)\''
2,25,P01,2013-08-16,Warszawa,Centrum,8,'\'(-inf-30.666667]\'','\'All\'',80,'\'(54.166667-88.333333]\''
11,104,P04,2013-10-12,Warszawa,Centrum,10,'\'(90-119.666667]\'','\'All\'',220,'\'(190.833333-inf)\''
5,50,P03,2013-08-31,Rzeszów,Po³udnie,8,'\'(30.666667-60.333333]\'','\'All\'',212,'\'(190.833333-inf)\''
2,99,P02,2013-08-24,Wroc³aw,Zachód,8,'\'(90-119.666667]\'','\'All\'',201,'\'(190.833333-inf)\''
