@relation '01_klienci4-weka.filters.unsupervised.attribute.Reorder-R1-2,4-8,3-weka.filters.unsupervised.attribute.Copy-R8-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceprzedzial-R9-weka.filters.unsupervised.attribute.Discretize-B6-M-1.0-R9-precision6-weka.filters.unsupervised.attribute.InterquartileRange-R2-O3.0-E6.0-weka.filters.unsupervised.attribute.Remove-R10-11-weka.filters.unsupervised.attribute.Copy-R2-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceprzedzial_czas rozmowy-R10-weka.filters.unsupervised.attribute.Copy-R10-weka.filters.unsupervised.attribute.Discretize-B6-M-1.0-R10-precision6-weka.filters.supervised.attribute.Discretize-R11-precision6-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceprzedzial_czas rozmowy_supervised-R11-weka.filters.unsupervised.attribute.Reorder-R1-7,10-11,8,9-weka.filters.unsupervised.attribute.Copy-R4-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceDzienTygodnia-R12-weka.filters.unsupervised.attribute.ChangeDateFormat-C12-FEEE-weka.filters.unsupervised.attribute.ChangeDateFormat-C12-F\"EEE\"-weka.filters.unsupervised.attribute.NumericToNominal-R12-weka.filters.unsupervised.attribute.Reorder-R1-9,12,10-11-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P20.0'

@attribute 'numer klienta' {6,12,9,3,7,11,2,5,10,1,8,4,15,13,14}
@attribute 'czas rozmowy' numeric
@attribute przedstawiciel {P03,P02,P05,P01,P04}
@attribute Oddzia³ {Rzeszów,Wroc³aw,£ódŸ,Warszawa}
@attribute Region {Po³udnie,Zachód,Centrum}
@attribute miesi¹c {9,10,8}
@attribute przedzial {'\'(-inf-54.166667]\'','\'(54.166667-88.333333]\'','\'(88.333333-122.5]\'','\'(122.5-156.666667]\'','\'(156.666667-190.833333]\'','\'(190.833333-inf)\''}

@data
1,118,P02,Wroc³aw,Zachód,8,'\'(88.333333-122.5]\''
14,40,P03,Rzeszów,Po³udnie,10,'\'(88.333333-122.5]\''
8,2,P05,£ódŸ,Centrum,8,'\'(156.666667-190.833333]\''
12,70,P05,£ódŸ,Centrum,9,'\'(156.666667-190.833333]\''
14,113,P03,Rzeszów,Po³udnie,9,'\'(54.166667-88.333333]\''
5,14,P04,Warszawa,Centrum,9,'\'(190.833333-inf)\''
7,101,P01,Warszawa,Centrum,8,'\'(190.833333-inf)\''
5,112,P05,£ódŸ,Centrum,8,'\'(54.166667-88.333333]\''
15,139,P04,Warszawa,Centrum,8,'\'(190.833333-inf)\''
7,33,P02,Wroc³aw,Zachód,9,'\'(54.166667-88.333333]\''
2,99,P02,Wroc³aw,Zachód,8,'\'(190.833333-inf)\''
11,176,P02,Wroc³aw,Zachód,9,'\'(122.5-156.666667]\''
2,101,P04,Warszawa,Centrum,8,'\'(190.833333-inf)\''
9,35,P03,Rzeszów,Po³udnie,9,'\'(54.166667-88.333333]\''
5,81,P05,£ódŸ,Centrum,10,'\'(-inf-54.166667]\''
9,127,P04,Warszawa,Centrum,9,'\'(122.5-156.666667]\''
5,111,P01,Warszawa,Centrum,9,'\'(88.333333-122.5]\''
1,67,P04,Warszawa,Centrum,10,'\'(88.333333-122.5]\''
7,73,P02,Wroc³aw,Zachód,9,'\'(156.666667-190.833333]\''
9,29,P05,£ódŸ,Centrum,9,'\'(-inf-54.166667]\''
5,140,P03,Rzeszów,Po³udnie,10,'\'(88.333333-122.5]\''
9,49,P05,£ódŸ,Centrum,8,'\'(190.833333-inf)\''
13,166,P01,Warszawa,Centrum,9,'\'(156.666667-190.833333]\''
4,8,P05,£ódŸ,Centrum,8,'\'(122.5-156.666667]\''
15,48,P05,£ódŸ,Centrum,10,'\'(-inf-54.166667]\''
1,118,P02,Wroc³aw,Zachód,10,'\'(54.166667-88.333333]\''
14,1,P05,£ódŸ,Centrum,10,'\'(-inf-54.166667]\''
13,69,P02,Wroc³aw,Zachód,9,'\'(88.333333-122.5]\''
4,62,P04,Warszawa,Centrum,10,'\'(156.666667-190.833333]\''
11,5,P02,Wroc³aw,Zachód,8,'\'(54.166667-88.333333]\''
7,165,P04,Warszawa,Centrum,9,'\'(156.666667-190.833333]\''
14,141,P01,Warszawa,Centrum,10,'\'(156.666667-190.833333]\''
10,178,P04,Warszawa,Centrum,10,'\'(122.5-156.666667]\''
4,12,P04,Warszawa,Centrum,10,'\'(122.5-156.666667]\''
8,106,P02,Wroc³aw,Zachód,8,'\'(156.666667-190.833333]\''
3,19,P05,£ódŸ,Centrum,9,'\'(190.833333-inf)\''
3,162,P01,Warszawa,Centrum,9,'\'(-inf-54.166667]\''
5,138,P05,£ódŸ,Centrum,10,'\'(88.333333-122.5]\''
10,87,P01,Warszawa,Centrum,9,'\'(-inf-54.166667]\''
12,165,P04,Warszawa,Centrum,8,'\'(88.333333-122.5]\''
9,26,P01,Warszawa,Centrum,9,'\'(156.666667-190.833333]\''
4,53,P05,£ódŸ,Centrum,10,'\'(122.5-156.666667]\''
15,45,P03,Rzeszów,Po³udnie,8,'\'(156.666667-190.833333]\''
3,60,P04,Warszawa,Centrum,9,'\'(122.5-156.666667]\''
9,171,P05,£ódŸ,Centrum,9,'\'(122.5-156.666667]\''
7,136,P03,Rzeszów,Po³udnie,9,'\'(-inf-54.166667]\''
4,46,P02,Wroc³aw,Zachód,9,'\'(88.333333-122.5]\''
14,1,P01,Warszawa,Centrum,10,'\'(-inf-54.166667]\''
5,153,P02,Wroc³aw,Zachód,8,'\'(156.666667-190.833333]\''
4,178,P01,Warszawa,Centrum,10,'\'(122.5-156.666667]\''
3,174,P05,£ódŸ,Centrum,8,'\'(88.333333-122.5]\''
3,68,P04,Warszawa,Centrum,8,'\'(-inf-54.166667]\''
7,104,P02,Wroc³aw,Zachód,8,'\'(88.333333-122.5]\''
4,100,P03,Rzeszów,Po³udnie,9,'\'(190.833333-inf)\''
10,155,P03,Rzeszów,Po³udnie,10,'\'(156.666667-190.833333]\''
11,144,P05,£ódŸ,Centrum,9,'\'(190.833333-inf)\''
14,43,P01,Warszawa,Centrum,9,'\'(190.833333-inf)\''
7,139,P02,Wroc³aw,Zachód,9,'\'(122.5-156.666667]\''
5,154,P02,Wroc³aw,Zachód,9,'\'(-inf-54.166667]\''
7,132,P02,Wroc³aw,Zachód,8,'\'(156.666667-190.833333]\''
12,156,P03,Rzeszów,Po³udnie,9,'\'(122.5-156.666667]\''
4,152,P04,Warszawa,Centrum,9,'\'(190.833333-inf)\''
10,63,P05,£ódŸ,Centrum,8,'\'(88.333333-122.5]\''
4,86,P01,Warszawa,Centrum,9,'\'(54.166667-88.333333]\''
14,13,P01,Warszawa,Centrum,9,'\'(-inf-54.166667]\''
3,61,P05,£ódŸ,Centrum,9,'\'(-inf-54.166667]\''
9,150,P04,Warszawa,Centrum,9,'\'(156.666667-190.833333]\''
4,164,P02,Wroc³aw,Zachód,8,'\'(54.166667-88.333333]\''
12,179,P05,£ódŸ,Centrum,9,'\'(88.333333-122.5]\''
12,112,P03,Rzeszów,Po³udnie,8,'\'(-inf-54.166667]\''
6,42,P02,Wroc³aw,Zachód,10,'\'(54.166667-88.333333]\''
9,13,P03,Rzeszów,Po³udnie,10,'\'(-inf-54.166667]\''
15,145,P04,Warszawa,Centrum,9,'\'(156.666667-190.833333]\''
12,12,P01,Warszawa,Centrum,10,'\'(156.666667-190.833333]\''
14,118,P01,Warszawa,Centrum,9,'\'(54.166667-88.333333]\''
12,21,P02,Wroc³aw,Zachód,9,'\'(122.5-156.666667]\''
6,79,P02,Wroc³aw,Zachód,8,'\'(190.833333-inf)\''
8,72,P04,Warszawa,Centrum,9,'\'(190.833333-inf)\''
7,94,P04,Warszawa,Centrum,9,'\'(88.333333-122.5]\''
13,149,P01,Warszawa,Centrum,9,'\'(-inf-54.166667]\''
11,138,P05,£ódŸ,Centrum,9,'\'(-inf-54.166667]\''
4,163,P05,£ódŸ,Centrum,9,'\'(-inf-54.166667]\''
7,156,P02,Wroc³aw,Zachód,8,'\'(54.166667-88.333333]\''
10,162,P05,£ódŸ,Centrum,9,'\'(-inf-54.166667]\''
12,178,P02,Wroc³aw,Zachód,10,'\'(54.166667-88.333333]\''
15,32,P03,Rzeszów,Po³udnie,9,'\'(-inf-54.166667]\''
9,29,P05,£ódŸ,Centrum,8,'\'(54.166667-88.333333]\''
7,125,P02,Wroc³aw,Zachód,9,'\'(190.833333-inf)\''
3,99,P03,Rzeszów,Po³udnie,10,'\'(88.333333-122.5]\''
6,135,P01,Warszawa,Centrum,9,'\'(54.166667-88.333333]\''
11,5,P01,Warszawa,Centrum,10,'\'(190.833333-inf)\''
6,35,P05,£ódŸ,Centrum,10,'\'(156.666667-190.833333]\''
3,132,P01,Warszawa,Centrum,9,'\'(190.833333-inf)\''
6,48,P03,Rzeszów,Po³udnie,10,'\'(190.833333-inf)\''
3,9,P03,Rzeszów,Po³udnie,9,'\'(190.833333-inf)\''
10,26,P01,Warszawa,Centrum,10,'\'(156.666667-190.833333]\''
5,101,P02,Wroc³aw,Zachód,9,'\'(190.833333-inf)\''
6,137,P01,Warszawa,Centrum,10,'\'(122.5-156.666667]\''
9,122,P01,Warszawa,Centrum,10,'\'(156.666667-190.833333]\''
9,158,P03,Rzeszów,Po³udnie,10,'\'(54.166667-88.333333]\''
8,99,P03,Rzeszów,Po³udnie,8,'\'(54.166667-88.333333]\''
1,148,P02,Wroc³aw,Zachód,10,'\'(122.5-156.666667]\''
13,4,P03,Rzeszów,Po³udnie,8,'\'(190.833333-inf)\''
3,122,P02,Wroc³aw,Zachód,10,'\'(190.833333-inf)\''
11,119,P03,Rzeszów,Po³udnie,10,'\'(54.166667-88.333333]\''
8,139,P03,Rzeszów,Po³udnie,8,'\'(156.666667-190.833333]\''
9,153,P05,£ódŸ,Centrum,9,'\'(122.5-156.666667]\''
9,120,P01,Warszawa,Centrum,8,'\'(156.666667-190.833333]\''
3,131,P05,£ódŸ,Centrum,9,'\'(190.833333-inf)\''
11,163,P02,Wroc³aw,Zachód,9,'\'(88.333333-122.5]\''
8,37,P01,Warszawa,Centrum,9,'\'(190.833333-inf)\''
11,139,P02,Wroc³aw,Zachód,8,'\'(190.833333-inf)\''
12,175,P02,Wroc³aw,Zachód,9,'\'(88.333333-122.5]\''
8,8,P02,Wroc³aw,Zachód,8,'\'(122.5-156.666667]\''
7,1,P01,Warszawa,Centrum,9,'\'(156.666667-190.833333]\''
12,151,P01,Warszawa,Centrum,10,'\'(122.5-156.666667]\''
4,160,P04,Warszawa,Centrum,10,'\'(190.833333-inf)\''
15,27,P02,Wroc³aw,Zachód,8,'\'(88.333333-122.5]\''
10,136,P01,Warszawa,Centrum,9,'\'(54.166667-88.333333]\''
4,165,P02,Wroc³aw,Zachód,9,'\'(-inf-54.166667]\''
9,143,P05,£ódŸ,Centrum,8,'\'(88.333333-122.5]\''
9,125,P01,Warszawa,Centrum,8,'\'(88.333333-122.5]\''
8,92,P04,Warszawa,Centrum,9,'\'(156.666667-190.833333]\''
5,111,P02,Wroc³aw,Zachód,8,'\'(88.333333-122.5]\''
9,171,P05,£ódŸ,Centrum,8,'\'(54.166667-88.333333]\''
5,65,P01,Warszawa,Centrum,9,'\'(190.833333-inf)\''
4,117,P04,Warszawa,Centrum,8,'\'(190.833333-inf)\''
3,78,P01,Warszawa,Centrum,10,'\'(156.666667-190.833333]\''
7,36,P02,Wroc³aw,Zachód,9,'\'(54.166667-88.333333]\''
9,94,P03,Rzeszów,Po³udnie,8,'\'(122.5-156.666667]\''
15,22,P04,Warszawa,Centrum,10,'\'(-inf-54.166667]\''
15,90,P01,Warszawa,Centrum,10,'\'(190.833333-inf)\''
11,132,P05,£ódŸ,Centrum,10,'\'(190.833333-inf)\''
2,94,P03,Rzeszów,Po³udnie,10,'\'(88.333333-122.5]\''
10,48,P02,Wroc³aw,Zachód,8,'\'(190.833333-inf)\''
1,57,P04,Warszawa,Centrum,8,'\'(156.666667-190.833333]\''
3,112,P05,£ódŸ,Centrum,9,'\'(122.5-156.666667]\''
11,166,P05,£ódŸ,Centrum,10,'\'(156.666667-190.833333]\''
2,174,P02,Wroc³aw,Zachód,10,'\'(-inf-54.166667]\''
15,170,P02,Wroc³aw,Zachód,10,'\'(122.5-156.666667]\''
11,29,P02,Wroc³aw,Zachód,9,'\'(156.666667-190.833333]\''
3,142,P01,Warszawa,Centrum,9,'\'(190.833333-inf)\''
11,38,P04,Warszawa,Centrum,9,'\'(190.833333-inf)\''
11,12,P05,£ódŸ,Centrum,9,'\'(54.166667-88.333333]\''
2,146,P04,Warszawa,Centrum,10,'\'(156.666667-190.833333]\''
1,68,P05,£ódŸ,Centrum,9,'\'(156.666667-190.833333]\''
11,169,P02,Wroc³aw,Zachód,10,'\'(-inf-54.166667]\''
5,2,P02,Wroc³aw,Zachód,8,'\'(54.166667-88.333333]\''
6,44,P01,Warszawa,Centrum,9,'\'(122.5-156.666667]\''
6,36,P01,Warszawa,Centrum,10,'\'(190.833333-inf)\''
5,11,P02,Wroc³aw,Zachód,9,'\'(-inf-54.166667]\''
7,101,P05,£ódŸ,Centrum,9,'\'(-inf-54.166667]\''
6,149,P02,Wroc³aw,Zachód,8,'\'(88.333333-122.5]\''
4,137,P02,Wroc³aw,Zachód,8,'\'(122.5-156.666667]\''
12,176,P04,Warszawa,Centrum,8,'\'(156.666667-190.833333]\''
8,48,P03,Rzeszów,Po³udnie,9,'\'(-inf-54.166667]\''
8,111,P04,Warszawa,Centrum,9,'\'(190.833333-inf)\''
8,15,P02,Wroc³aw,Zachód,8,'\'(122.5-156.666667]\''
2,162,P03,Rzeszów,Po³udnie,10,'\'(54.166667-88.333333]\''
13,122,P05,£ódŸ,Centrum,8,'\'(-inf-54.166667]\''
6,37,P01,Warszawa,Centrum,9,'\'(-inf-54.166667]\''
4,8,P05,£ódŸ,Centrum,8,'\'(156.666667-190.833333]\''
6,46,P05,£ódŸ,Centrum,10,'\'(190.833333-inf)\''
8,93,P01,Warszawa,Centrum,8,'\'(54.166667-88.333333]\''
5,79,P02,Wroc³aw,Zachód,9,'\'(54.166667-88.333333]\''
6,21,P02,Wroc³aw,Zachód,9,'\'(190.833333-inf)\''
5,123,P02,Wroc³aw,Zachód,8,'\'(-inf-54.166667]\''
1,50,P01,Warszawa,Centrum,8,'\'(190.833333-inf)\''
1,171,P03,Rzeszów,Po³udnie,10,'\'(122.5-156.666667]\''
5,131,P02,Wroc³aw,Zachód,8,'\'(-inf-54.166667]\''
6,62,P05,£ódŸ,Centrum,8,'\'(190.833333-inf)\''
15,157,P04,Warszawa,Centrum,8,'\'(54.166667-88.333333]\''
6,169,P02,Wroc³aw,Zachód,9,'\'(190.833333-inf)\''
12,31,P04,Warszawa,Centrum,10,'\'(88.333333-122.5]\''
8,175,P02,Wroc³aw,Zachód,9,'\'(-inf-54.166667]\''
9,5,P02,Wroc³aw,Zachód,10,'\'(88.333333-122.5]\''
8,153,P04,Warszawa,Centrum,10,'\'(190.833333-inf)\''
5,122,P02,Wroc³aw,Zachód,10,'\'(156.666667-190.833333]\''
7,68,P03,Rzeszów,Po³udnie,8,'\'(-inf-54.166667]\''
14,49,P02,Wroc³aw,Zachód,10,'\'(54.166667-88.333333]\''
15,9,P05,£ódŸ,Centrum,10,'\'(-inf-54.166667]\''
4,121,P04,Warszawa,Centrum,9,'\'(122.5-156.666667]\''
14,86,P05,£ódŸ,Centrum,9,'\'(54.166667-88.333333]\''
5,84,P01,Warszawa,Centrum,10,'\'(88.333333-122.5]\''
9,87,P05,£ódŸ,Centrum,9,'\'(88.333333-122.5]\''
11,172,P03,Rzeszów,Po³udnie,9,'\'(156.666667-190.833333]\''
13,15,P04,Warszawa,Centrum,8,'\'(54.166667-88.333333]\''
5,139,P02,Wroc³aw,Zachód,8,'\'(156.666667-190.833333]\''
11,39,P01,Warszawa,Centrum,8,'\'(-inf-54.166667]\''
11,144,P05,£ódŸ,Centrum,10,'\'(-inf-54.166667]\''
3,74,P03,Rzeszów,Po³udnie,10,'\'(156.666667-190.833333]\''
9,96,P02,Wroc³aw,Zachód,9,'\'(156.666667-190.833333]\''
10,134,P05,£ódŸ,Centrum,8,'\'(88.333333-122.5]\''
4,56,P05,£ódŸ,Centrum,10,'\'(-inf-54.166667]\''
10,54,P02,Wroc³aw,Zachód,9,'\'(54.166667-88.333333]\''
5,158,P04,Warszawa,Centrum,9,'\'(54.166667-88.333333]\''
12,59,P04,Warszawa,Centrum,8,'\'(122.5-156.666667]\''
2,174,P03,Rzeszów,Po³udnie,10,'\'(156.666667-190.833333]\''
5,116,P05,£ódŸ,Centrum,8,'\'(122.5-156.666667]\''
3,146,P03,Rzeszów,Po³udnie,8,'\'(156.666667-190.833333]\''
7,139,P02,Wroc³aw,Zachód,9,'\'(122.5-156.666667]\''
6,96,P04,Warszawa,Centrum,8,'\'(122.5-156.666667]\''
2,111,P02,Wroc³aw,Zachód,10,'\'(54.166667-88.333333]\''
6,64,P01,Warszawa,Centrum,10,'\'(190.833333-inf)\''
9,108,P02,Wroc³aw,Zachód,8,'\'(190.833333-inf)\''
10,44,P03,Rzeszów,Po³udnie,10,'\'(54.166667-88.333333]\''
10,3,P05,£ódŸ,Centrum,8,'\'(190.833333-inf)\''
8,17,P04,Warszawa,Centrum,10,'\'(122.5-156.666667]\''
2,44,P01,Warszawa,Centrum,10,'\'(88.333333-122.5]\''
15,46,P04,Warszawa,Centrum,8,'\'(156.666667-190.833333]\''
2,97,P01,Warszawa,Centrum,8,'\'(190.833333-inf)\''
4,159,P01,Warszawa,Centrum,8,'\'(190.833333-inf)\''
6,61,P03,Rzeszów,Po³udnie,8,'\'(88.333333-122.5]\''
9,95,P03,Rzeszów,Po³udnie,8,'\'(122.5-156.666667]\''
12,82,P02,Wroc³aw,Zachód,8,'\'(-inf-54.166667]\''
15,91,P03,Rzeszów,Po³udnie,8,'\'(190.833333-inf)\''
15,92,P04,Warszawa,Centrum,10,'\'(122.5-156.666667]\''
4,105,P01,Warszawa,Centrum,9,'\'(54.166667-88.333333]\''
6,50,P05,£ódŸ,Centrum,8,'\'(122.5-156.666667]\''
9,136,P03,Rzeszów,Po³udnie,9,'\'(54.166667-88.333333]\''
11,132,P03,Rzeszów,Po³udnie,8,'\'(54.166667-88.333333]\''
4,59,P01,Warszawa,Centrum,9,'\'(54.166667-88.333333]\''
3,129,P05,£ódŸ,Centrum,8,'\'(122.5-156.666667]\''
12,169,P03,Rzeszów,Po³udnie,8,'\'(156.666667-190.833333]\''
9,149,P03,Rzeszów,Po³udnie,10,'\'(122.5-156.666667]\''
11,122,P04,Warszawa,Centrum,10,'\'(122.5-156.666667]\''
15,117,P04,Warszawa,Centrum,10,'\'(190.833333-inf)\''
11,6,P03,Rzeszów,Po³udnie,10,'\'(88.333333-122.5]\''
4,118,P02,Wroc³aw,Zachód,8,'\'(156.666667-190.833333]\''
10,89,P02,Wroc³aw,Zachód,10,'\'(156.666667-190.833333]\''
4,100,P05,£ódŸ,Centrum,10,'\'(122.5-156.666667]\''
9,70,P02,Wroc³aw,Zachód,9,'\'(54.166667-88.333333]\''
6,41,P02,Wroc³aw,Zachód,8,'\'(54.166667-88.333333]\''
10,27,P03,Rzeszów,Po³udnie,8,'\'(122.5-156.666667]\''
12,140,P02,Wroc³aw,Zachód,10,'\'(156.666667-190.833333]\''
13,114,P02,Wroc³aw,Zachód,10,'\'(54.166667-88.333333]\''
14,136,P02,Wroc³aw,Zachód,10,'\'(54.166667-88.333333]\''
12,112,P01,Warszawa,Centrum,9,'\'(88.333333-122.5]\''
11,75,P05,£ódŸ,Centrum,9,'\'(-inf-54.166667]\''
9,145,P05,£ódŸ,Centrum,10,'\'(54.166667-88.333333]\''
7,149,P05,£ódŸ,Centrum,8,'\'(156.666667-190.833333]\''
5,23,P03,Rzeszów,Po³udnie,10,'\'(88.333333-122.5]\''
7,147,P01,Warszawa,Centrum,10,'\'(-inf-54.166667]\''
15,19,P01,Warszawa,Centrum,9,'\'(156.666667-190.833333]\''
13,105,P01,Warszawa,Centrum,10,'\'(54.166667-88.333333]\''
4,57,P05,£ódŸ,Centrum,8,'\'(156.666667-190.833333]\''
11,112,P04,Warszawa,Centrum,8,'\'(-inf-54.166667]\''
10,75,P02,Wroc³aw,Zachód,10,'\'(88.333333-122.5]\''
11,43,P03,Rzeszów,Po³udnie,8,'\'(-inf-54.166667]\''
3,139,P04,Warszawa,Centrum,10,'\'(54.166667-88.333333]\''
15,20,P02,Wroc³aw,Zachód,10,'\'(54.166667-88.333333]\''
11,7,P05,£ódŸ,Centrum,10,'\'(-inf-54.166667]\''
14,176,P05,£ódŸ,Centrum,9,'\'(-inf-54.166667]\''
15,156,P01,Warszawa,Centrum,10,'\'(88.333333-122.5]\''
14,101,P02,Wroc³aw,Zachód,9,'\'(122.5-156.666667]\''
9,21,P02,Wroc³aw,Zachód,10,'\'(88.333333-122.5]\''
12,91,P03,Rzeszów,Po³udnie,8,'\'(54.166667-88.333333]\''
2,167,P03,Rzeszów,Po³udnie,8,'\'(54.166667-88.333333]\''
7,47,P05,£ódŸ,Centrum,10,'\'(88.333333-122.5]\''
2,56,P02,Wroc³aw,Zachód,8,'\'(122.5-156.666667]\''
11,32,P02,Wroc³aw,Zachód,8,'\'(156.666667-190.833333]\''
3,65,P02,Wroc³aw,Zachód,10,'\'(156.666667-190.833333]\''
7,44,P04,Warszawa,Centrum,9,'\'(-inf-54.166667]\''
9,75,P02,Wroc³aw,Zachód,9,'\'(54.166667-88.333333]\''
1,76,P01,Warszawa,Centrum,10,'\'(156.666667-190.833333]\''
1,24,P02,Wroc³aw,Zachód,10,'\'(-inf-54.166667]\''
3,30,P05,£ódŸ,Centrum,8,'\'(54.166667-88.333333]\''
1,50,P01,Warszawa,Centrum,10,'\'(190.833333-inf)\''
5,42,P05,£ódŸ,Centrum,9,'\'(-inf-54.166667]\''
14,49,P03,Rzeszów,Po³udnie,8,'\'(-inf-54.166667]\''
6,60,P02,Wroc³aw,Zachód,8,'\'(-inf-54.166667]\''
12,84,P03,Rzeszów,Po³udnie,9,'\'(190.833333-inf)\''
6,151,P01,Warszawa,Centrum,10,'\'(54.166667-88.333333]\''
4,100,P02,Wroc³aw,Zachód,9,'\'(122.5-156.666667]\''
9,35,P02,Wroc³aw,Zachód,8,'\'(88.333333-122.5]\''
4,24,P01,Warszawa,Centrum,9,'\'(122.5-156.666667]\''
9,14,P02,Wroc³aw,Zachód,10,'\'(54.166667-88.333333]\''
6,120,P01,Warszawa,Centrum,9,'\'(122.5-156.666667]\''
15,12,P02,Wroc³aw,Zachód,9,'\'(54.166667-88.333333]\''
15,71,P05,£ódŸ,Centrum,9,'\'(190.833333-inf)\''
7,114,P02,Wroc³aw,Zachód,8,'\'(122.5-156.666667]\''
6,43,P03,Rzeszów,Po³udnie,10,'\'(-inf-54.166667]\''
4,56,P05,£ódŸ,Centrum,8,'\'(122.5-156.666667]\''
15,76,P01,Warszawa,Centrum,9,'\'(54.166667-88.333333]\''
11,112,P02,Wroc³aw,Zachód,8,'\'(54.166667-88.333333]\''
10,145,P02,Wroc³aw,Zachód,8,'\'(-inf-54.166667]\''
6,100,P05,£ódŸ,Centrum,8,'\'(54.166667-88.333333]\''
10,14,P03,Rzeszów,Po³udnie,9,'\'(88.333333-122.5]\''
9,17,P01,Warszawa,Centrum,9,'\'(122.5-156.666667]\''
15,95,P05,£ódŸ,Centrum,9,'\'(156.666667-190.833333]\''
12,10,P05,£ódŸ,Centrum,8,'\'(54.166667-88.333333]\''
4,29,P05,£ódŸ,Centrum,8,'\'(-inf-54.166667]\''
7,167,P05,£ódŸ,Centrum,9,'\'(54.166667-88.333333]\''
6,94,P02,Wroc³aw,Zachód,9,'\'(122.5-156.666667]\''
5,86,P04,Warszawa,Centrum,8,'\'(190.833333-inf)\''
5,50,P03,Rzeszów,Po³udnie,8,'\'(190.833333-inf)\''
10,112,P01,Warszawa,Centrum,8,'\'(156.666667-190.833333]\''
11,137,P02,Wroc³aw,Zachód,9,'\'(88.333333-122.5]\''
6,34,P01,Warszawa,Centrum,8,'\'(88.333333-122.5]\''
12,121,P03,Rzeszów,Po³udnie,9,'\'(88.333333-122.5]\''
9,80,P02,Wroc³aw,Zachód,8,'\'(190.833333-inf)\''
2,133,P04,Warszawa,Centrum,8,'\'(88.333333-122.5]\''
14,145,P02,Wroc³aw,Zachód,8,'\'(-inf-54.166667]\''
14,92,P04,Warszawa,Centrum,9,'\'(-inf-54.166667]\''
7,26,P03,Rzeszów,Po³udnie,8,'\'(122.5-156.666667]\''
3,80,P03,Rzeszów,Po³udnie,8,'\'(156.666667-190.833333]\''
10,134,P02,Wroc³aw,Zachód,9,'\'(54.166667-88.333333]\''
10,171,P02,Wroc³aw,Zachód,8,'\'(156.666667-190.833333]\''
2,158,P03,Rzeszów,Po³udnie,10,'\'(-inf-54.166667]\''
14,114,P02,Wroc³aw,Zachód,10,'\'(122.5-156.666667]\''
2,165,P02,Wroc³aw,Zachód,8,'\'(88.333333-122.5]\''
11,84,P03,Rzeszów,Po³udnie,9,'\'(88.333333-122.5]\''
5,98,P01,Warszawa,Centrum,10,'\'(190.833333-inf)\''
11,85,P02,Wroc³aw,Zachód,8,'\'(-inf-54.166667]\''
11,28,P03,Rzeszów,Po³udnie,8,'\'(156.666667-190.833333]\''
9,15,P04,Warszawa,Centrum,10,'\'(88.333333-122.5]\''
9,31,P05,£ódŸ,Centrum,9,'\'(190.833333-inf)\''
1,99,P01,Warszawa,Centrum,8,'\'(190.833333-inf)\''
4,12,P02,Wroc³aw,Zachód,9,'\'(88.333333-122.5]\''
11,141,P05,£ódŸ,Centrum,10,'\'(88.333333-122.5]\''
3,157,P05,£ódŸ,Centrum,8,'\'(54.166667-88.333333]\''
13,139,P01,Warszawa,Centrum,9,'\'(-inf-54.166667]\''
8,146,P01,Warszawa,Centrum,8,'\'(88.333333-122.5]\''
7,82,P05,£ódŸ,Centrum,8,'\'(122.5-156.666667]\''
8,135,P03,Rzeszów,Po³udnie,10,'\'(190.833333-inf)\''
15,148,P05,£ódŸ,Centrum,10,'\'(190.833333-inf)\''
6,65,P03,Rzeszów,Po³udnie,8,'\'(88.333333-122.5]\''
14,159,P01,Warszawa,Centrum,10,'\'(-inf-54.166667]\''
12,152,P01,Warszawa,Centrum,8,'\'(190.833333-inf)\''
6,22,P03,Rzeszów,Po³udnie,9,'\'(190.833333-inf)\''
3,36,P02,Wroc³aw,Zachód,10,'\'(54.166667-88.333333]\''
13,85,P04,Warszawa,Centrum,8,'\'(-inf-54.166667]\''
5,133,P04,Warszawa,Centrum,10,'\'(122.5-156.666667]\''
2,179,P05,£ódŸ,Centrum,8,'\'(-inf-54.166667]\''
7,120,P05,£ódŸ,Centrum,8,'\'(122.5-156.666667]\''
10,94,P05,£ódŸ,Centrum,9,'\'(122.5-156.666667]\''
3,127,P01,Warszawa,Centrum,8,'\'(190.833333-inf)\''
6,20,P05,£ódŸ,Centrum,8,'\'(122.5-156.666667]\''
9,24,P01,Warszawa,Centrum,8,'\'(190.833333-inf)\''
12,173,P01,Warszawa,Centrum,9,'\'(54.166667-88.333333]\''
4,24,P02,Wroc³aw,Zachód,10,'\'(-inf-54.166667]\''
7,108,P01,Warszawa,Centrum,8,'\'(88.333333-122.5]\''
5,147,P03,Rzeszów,Po³udnie,10,'\'(54.166667-88.333333]\''
